,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Charlie Mar,@itscharliemar,2020-01-01T17:36:29.000Z,"205%+ ROI, in the last month! 

$2,800 to $8,400!  That’s right!

Another amazing screenshot of progress after becoming a member! Shoutout to Chris! 

That’s just what’s happens when you join the leading league of traders! #MARSQUAD! 

$JPM $PINS $ZM $WMT $HD $ULTA $KHC $TSLA","205%+ ROI, in the last month! 

$2,800 to $8,400!  That’s right!

Another amazing screenshot of progress after becoming a member! Shoutout to Chris! 

That’s just what’s happens when you join the leading league of traders! #MARSQUAD! 

$JPM $PINS $ZM $WMT $HD $ULTA $KHC $TSLA
0:01
1,359 views
1
5
11",💸 🔥,1,5,11,[],https://twitter.com/itscharliemar/status/1212427385607458816
1,UPBOptionMil,@UPBOptionMil,2020-01-03T12:27:52.000Z,Some of todays top stock option open interest changes 1.3.2020 $DVN $JPM $MU $BAC $NIO $DB $CRC $GPRO $AMD,"Some of todays top stock option open interest changes 1.3.2020 $DVN $JPM $MU $BAC $NIO $DB $CRC $GPRO $AMD
8
15",,,8,15,['https://pbs.twimg.com/media/ENW00t3X0AEurfa?format=png&name=small'],https://twitter.com/UPBOptionMil/status/1213074496678252545
2,Surfergirl,@Terri1618,2020-01-03T09:08:31.000Z,"$SPY $QQQ $VXX update. New yr stock rotation triggered. Osc overbought again. See how price reacts2 res/sup areas. Patience4 high probability setups

F: ISM mfg,Fed min
1/6: PMI svcs
1/7-10: CES
1/10: Jobs
1/13-16: H/C conf
1/14-16: EU/US trade mtg
1/14: $JPM $C
1/15: $UNH $BAC","$SPY $QQQ $VXX update. New yr stock rotation triggered. Osc overbought again. See how price reacts2 res/sup areas. Patience4 high probability setups

F: ISM mfg,Fed min
1/6: PMI svcs
1/7-10: CES
1/10: Jobs
1/13-16: H/C conf
1/14-16: EU/US trade mtg
1/14: $JPM $C
1/15: $UNH $BAC
1
8
17",,1,8,17,"['https://pbs.twimg.com/media/ENWHK5TUEAAW4w3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENWHLSuVUAAJudd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENWHK5SUEAAPRpS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENWHLMMU0AAQ_5V?format=jpg&name=360x360']",https://twitter.com/Terri1618/status/1213024330377912320
3,Breaking News,@MarketCurrents,2020-01-03T16:26:15.000Z,$BAC $C $JPM - Financial stocks take a hit after U.S.-Iran tensions ramp up,"$BAC $C $JPM - Financial stocks take a hit after U.S.-Iran tensions ramp up
seekingalpha.com
Financial stocks take a hit after U.S.-Iran tensions ramp up (NYSE:BAC)
Financials slump after U.S. airstrikes targeting Iran military officials in Iraq adds a jolt of uncertainty into the 2020 outlook.All of the U.S.-based megabanks lose at least 1% — Bank of...
1",,,1,,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/MarketCurrents/status/1213134488902848513
4,Laurie,@LaurieInMadison,2020-01-02T14:16:39.000Z,"It's here! Stephen Guilfoyle's annual stock pick of the year 2020. What'll he go with? #GUILFOLIO 
@Sarge986
 ""Excel in the environment provided"" #FOMC $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney","It's here! Stephen Guilfoyle's annual stock pick of the year 2020. What'll he go with? #GUILFOLIO 
@Sarge986
 ""Excel in the environment provided"" #FOMC $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney
realmoney.thestreet.com
My Pick for 2020? You Won't Believe It's Been on Your Screen All Along
This company made headlines in 2019, and I'm betting on it as a great play -- in many senses of the word -- for this new year.
1
2",,,1,2,['https://pbs.twimg.com/card_img/1501932152459444231/WnnnhgOR?format=png&name=small'],https://twitter.com/LaurieInMadison/status/1212739483310968833
5,Tony Battista,@Tony_BATtista,2020-01-02T13:11:31.000Z,"Ex Div Tomorrow:

$BBD   0.0
$CXW   0.44
$JPM   0.9
$RCII  0.29
@tastytrade","Ex Div Tomorrow:

$BBD   0.0
$CXW   0.44
$JPM   0.9
$RCII  0.29
@tastytrade
2
8",,,2,8,[],https://twitter.com/Tony_BATtista/status/1212723092646182912
6,Investidea,@Investidea1,2020-01-02T01:41:03.000Z,#BritishLand Major #UK lenders $LYG $HSBC $SAN $BCS $RBS all pass Bank of England stress tests https://theguardian.com/business/2019/dec/16/MAJOR-UK-LENDERS-ALL-PASS-BANK-OF-ENGLAND-STRESS-TESTS… $MS $BAC $BTLCY $JPM,"#BritishLand Major #UK lenders $LYG $HSBC $SAN $BCS $RBS all pass Bank of England stress tests https://theguardian.com/business/2019/dec/16/MAJOR-UK-LENDERS-ALL-PASS-BANK-OF-ENGLAND-STRESS-TESTS… $MS $BAC $BTLCY $JPM
GIF
2",,,2,,[],https://twitter.com/Investidea1/status/1212549331154276354
7,bake mcbride,@ITRADEVOL,2020-01-02T12:00:40.000Z,Biggest Gainers and Decliners $CHK $NBY $ITUB $NOK $JPM $NLY $GDX $VWO https://marketchameleon.com/Reports/MarketMovers?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com…,"Biggest Gainers and Decliners $CHK $NBY $ITUB $NOK $JPM $NLY $GDX $VWO https://marketchameleon.com/Reports/MarketMovers?utm_campaign=meetedgar&utm_medium=social&utm_source=meetedgar.com…
1
2",💰,1,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1212705213724930050/pu/img/nzmLOwor9wwvOcLL.jpg'],https://twitter.com/ITRADEVOL/status/1212705265629454338
8,"Raymond-Nature, Animals & Trade Markets",@raymond10mm,2020-01-03T22:02:48.000Z,#war $spx $es_f $AAPL #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f $BTC,"#war $spx $es_f $AAPL #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f $BTC
1
2
1",📈 📉,1,2,1,['https://pbs.twimg.com/media/ENY4acRWsAARykQ?format=jpg&name=small'],https://twitter.com/raymond10mm/status/1213219182944440320
9,Me,@_____JustMe__,2020-01-02T19:48:39.000Z,"$MSFT = $160 ATH
$JPM = $140 
$AAPL = $300 ????????????????????? 
$AMZN = $1900 ?????????????????
$GS = 234+ 
$FB = $208.50+ 

#TRIFECTA Today? $JPM + $MSFT + $APPL ?
#LetsDoIt","$MSFT = $160 ATH
$JPM = $140 
$AAPL = $300 ????????????????????? 
$AMZN = $1900 ?????????????????
$GS = 234+ 
$FB = $208.50+ 

#TRIFECTA Today? $JPM + $MSFT + $APPL ?
#LetsDoIt
GIF
2",✅ ✅ ✅ ✅,,,2,['https://pbs.twimg.com/tweet_video_thumb/ENTQHv7XsAA1-5n.jpg'],https://twitter.com/_____JustMe__/status/1212823037499846656
10,Lola,@lolaperez0211,2020-01-03T00:07:35.000Z,"2020 Predictions Bimgo Cards

Via: 
@VisualCap
 

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM $GOOG $CVS $TWTR $GS $NFLX $DIS $CRM $HD $BABA $QD $FB $T $WMT $TSLA $JWN $AXP $IBM $JPM $M $TGT $MCD $NKE $BA","2020 Predictions Bimgo Cards

Via: 
@VisualCap
 

#dow #nasdaq #nyse #SP500 #CAC40 #FTSE #nikkei 
$AAPL $AMZN $XOM $GOOG $CVS $TWTR $GS $NFLX $DIS $CRM $HD $BABA $QD $FB $T $WMT $TSLA $JWN $AXP $IBM $JPM $M $TGT $MCD $NKE $BA
2
1",,,2,1,['https://pbs.twimg.com/media/ENULYluWoAUc703?format=jpg&name=small'],https://twitter.com/lolaperez0211/status/1212888197228875778
11,PlungeProtectionTeam,@gamesblazer06,2020-01-02T21:09:04.000Z,"Replying to 
@gamesblazer06","Replying to 
@gamesblazer06
$JPM & Dealers getting taken out by the Fed of some $TLT bonds they reversed in doesn’t equal Reflation imho. Curve inverted already. All the other credit (CCCs), earnings & economic indicators ratify.
2
5",,,2,5,['https://pbs.twimg.com/media/ENTihYhUYAALnfs?format=jpg&name=small'],https://twitter.com/gamesblazer06/status/1212843274169241600
12,TK ॐ,@TraderKarthik,2020-01-01T21:40:41.000Z,"$JPM Earnings on 1/14

Broke out nicely from 2 IH&S - been playing pretty close to the fibs

It's playing a rise and consolidate pattern as it should be, with the 200% retracement of the IHS at 147.55","$JPM Earnings on 1/14

Broke out nicely from 2 IH&S - been playing pretty close to the fibs

It's playing a rise and consolidate pattern as it should be, with the 200% retracement of the IHS at 147.55
1",,,,1,"['https://pbs.twimg.com/media/ENOgLClXkAY3d3_?format=png&name=medium', 'https://pbs.twimg.com/media/ENOgLCkWwAExuHU?format=png&name=medium']",https://twitter.com/TraderKarthik/status/1212488842139389953
13,Joe,@JoeTooth212,2020-01-02T17:23:04.000Z,(2020-01-02) STC $JPM $2.16 Diagonal Spread 200117 +C138 / 200110 -C140 / 20% gain,"(2020-01-02) STC $JPM $2.16 Diagonal Spread 200117 +C138 / 200110 -C140 / 20% gain
1",,,1,,[],https://twitter.com/JoeTooth212/status/1212786396831866881
14,"Raymond-Nature, Animals & Trade Markets",@raymond10mm,2020-01-03T15:06:36.000Z,#war $es_f $AAPL #daytrading #marketprofile #futures $spx $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f,"#war $es_f $AAPL #daytrading #marketprofile #futures $spx $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f
1
3",📈 📉,1,,3,['https://pbs.twimg.com/media/ENXZKCuWkAMWxKf?format=jpg&name=small'],https://twitter.com/raymond10mm/status/1213114444231979008
15,OptionAlarm,@OptionAlarm,2020-01-03T19:25:07.000Z,Having a trusted team on your side will make all the difference when investing. Have you tried OptionAlarm yet? Free Trials. Winning Option Swing Trades Since 2006  $NVDA $TSLA $JPM $MA,"Having a trusted team on your side will make all the difference when investing. Have you tried OptionAlarm yet? Free Trials. Winning Option Swing Trades Since 2006  $NVDA $TSLA $JPM $MA
1
3",,,1,3,[],https://twitter.com/OptionAlarm/status/1213179499182989312
16,bake mcbride,@ITRADEVOL,2020-01-02T12:29:46.000Z,"Filter #options for seasonal strength it can be helpful to find trade ideas in $JPM $AAPL and $AMZN for example.
#quantitativeanalysis#bixby#volatility#etfs#aapl#optionstrading#riskmanagement#bullish","Filter #options for seasonal strength it can be helpful to find trade ideas in $JPM $AAPL and $AMZN for example.
#quantitativeanalysis#bixby#volatility#etfs#aapl#optionstrading#riskmanagement#bullish
GIF",,,,,['https://pbs.twimg.com/tweet_video_thumb/ENRrqozXsAEXRQ1.jpg'],https://twitter.com/ITRADEVOL/status/1212712586095054850
17,The Invincible Bull,@InvincibleBull,2020-01-03T18:52:45.000Z,"Own the biggest bitcoin miner in the USA that’s publicly traded. $RIOT with crypto’s soaring this is a homerun. Last big run sent it to almost $50

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ $INTC $HD $MRK $WMT $FdX $NFLX $C $BA $PEP","Own the biggest bitcoin miner in the USA that’s publicly traded. $RIOT with crypto’s soaring this is a homerun. Last big run sent it to almost $50

$SPY $MSFT $AMZN $FB $BRK.B $JPM $GOOG $JNJ $V $PG $XOM $T $BAC $UNH $NVDA $DIS $MA $VZ $INTC $HD $MRK $WMT $FdX $NFLX $C $BA $PEP",,,,,[],https://twitter.com/InvincibleBull/status/1213171357741137921
18,TA Trades,@TATrades,2020-01-01T23:08:39.000Z,"Charts and coffee tonight! Probably around 10pm or 11pm EST. I will be sharing my notes/watchlist on 
@TAtradesPrivate
 and a few charts on here. 

$spy $fb $amzn $aapl $nvda $nflx $goog $roku $ttd $tsla $unh $shop $dis $nio $cost $cmg $ba $baba $mcd $btc $lk $pton $sq $jpm $amd $i","Charts and coffee tonight! Probably around 10pm or 11pm EST. I will be sharing my notes/watchlist on 
@TAtradesPrivate
 and a few charts on here. 

$spy $fb $amzn $aapl $nvda $nflx $goog $roku $ttd $tsla $unh $shop $dis $nio $cost $cmg $ba $baba $mcd $btc $lk $pton $sq $jpm $amd $i
1",,,1,,[],https://twitter.com/TATrades/status/1212510981085159424
19,Jerod,@jerodjones,2020-01-01T09:12:01.000Z,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA","Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA
seekingalpha.com
Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom (NASDAQ:AAPL)
Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) finished as the year's top gainers on the Dow Jones Industrial Average, as 27 of the 30 stocks in the index ended in the green vs.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/jerodjones/status/1212300431684014081
20,Volatility,@getvolatility,2020-01-03T14:43:44.000Z,"Unusual call buying: $DRI 31x average volume, $IEF 22x, $JPM 20x, $DVN 8x, $GLNG 7x, $NLY 6x, $NOK 5x, $DB 5x","Unusual call buying: $DRI 31x average volume, $IEF 22x, $JPM 20x, $DVN 8x, $GLNG 7x, $NLY 6x, $NOK 5x, $DB 5x
2",,,2,,[],https://twitter.com/getvolatility/status/1213108686866006017
21,"Will Nunn, CFP®",@Will_Nunn,2020-01-03T15:54:18.000Z,"Wow 
@PlanningHorizon
 turns 1 year old tomorrow! Long days, and a short year! Thankful for each and every person along the journey. I took the biggest risk on 4 Jan 2019 and told $JPM to get lost, I have a better way. #feeonly","Wow 
@PlanningHorizon
 turns 1 year old tomorrow! Long days, and a short year! Thankful for each and every person along the journey. I took the biggest risk on 4 Jan 2019 and told $JPM to get lost, I have a better way. #feeonly
Will Nunn, CFP®
@Will_Nunn
 · 29 Jan 2019
Stoked to be a part of @XYPlanning. Thanks for the encouragement @RFrailich @FPFoCo @MorgenRochard @faceman16 @anxiousadvisor @MichaelKitces @R_Alan_Moore ...and I’m sure I’m leaving folks out unintentionally. Still very excited for what’s next! #financialplanning
Show this thread
2",,,,2,"['https://pbs.twimg.com/profile_images/1085802003480133632/xQ4-8g2V_mini.jpg', 'https://pbs.twimg.com/media/DyBPZHTXQAAJ1Uw?format=jpg&name=small']",https://twitter.com/Will_Nunn/status/1213126446425743360
22,Giovanni Franchi,@giovfranchi,2020-01-01T13:38:53.000Z,$JPM is the only bank that I have owned for some years. I am glad that I did because it is a true compounder.,"$JPM is the only bank that I have owned for some years. I am glad that I did because it is a true compounder.
seekingalpha.com
Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom (NASDAQ:AAPL)
Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) finished as the year's top gainers on the Dow Jones Industrial Average, as 27 of the 30 stocks in the index ended in the green vs.
1",,,1,,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/giovfranchi/status/1212367591894929414
23,Roka_Dura,@Roka_Dura,2020-01-03T13:54:44.000Z,Watching $AMZN $TSLA $FB $AAPL $JPM $DIS,"Watching $AMZN $TSLA $FB $AAPL $JPM $DIS
3",,,,3,[],https://twitter.com/Roka_Dura/status/1213096358690742272
24,Stockbeep Scanner,@stockbeep,2020-01-02T21:31:54.000Z,"Breakout #stocks (moved above recent resistance)

$SNAP $ADXS $SES $OXY $QD $XOM $WORK $TME $IQ $JPM 

Sort results by Time, Chg, %, Vol and more.
#nyse #nasdaq
http://stockbeep.com/bo-jan2e","Breakout #stocks (moved above recent resistance)

$SNAP $ADXS $SES $OXY $QD $XOM $WORK $TME $IQ $JPM 

Sort results by Time, Chg, %, Vol and more.
#nyse #nasdaq
http://stockbeep.com/bo-jan2e",,,,,[],https://twitter.com/stockbeep/status/1212849020177129476
