,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Jesse Colombo,@TheBubbleBubble,2017-01-02T19:39:59.000Z,"There's a Massive Restaurant Industry Bubble, and It's About to Burst: https://thrillist.com/eat/nation/american-restaurant-industry-bubble-burst… $CMG $PNRA $MCD","There's a Massive Restaurant Industry Bubble, and It's About to Burst: https://thrillist.com/eat/nation/american-restaurant-industry-bubble-burst… $CMG $PNRA $MCD
8
40
51",,8,40,51,['https://pbs.twimg.com/media/C1MI8L2XgAEKTbd?format=jpg&name=small'],https://twitter.com/TheBubbleBubble/status/816006142618980352
1,Yahoo Finance,@YahooFinance,2017-01-03T03:01:02.000Z,McDonald’s latest move should terrify Starbucks https://yhoo.it/2g2Vkp8 $MCD $SBUX,"McDonald’s latest move should terrify Starbucks https://yhoo.it/2g2Vkp8 $MCD $SBUX
12
15",,,12,15,['https://pbs.twimg.com/media/C1NuNQUWIAACfAN?format=jpg&name=small'],https://twitter.com/YahooFinance/status/816117134635991040
2,Yahoo Finance,@YahooFinance,2017-01-03T21:23:01.000Z,"Starbucks to top McDonald’s as restaurant king, analyst says https://yhoo.it/2hNTj5Z $SBUX $MCD","Starbucks to top McDonald’s as restaurant king, analyst says https://yhoo.it/2hNTj5Z $SBUX $MCD
1
12
8",,1,12,8,['https://pbs.twimg.com/media/C1RqbvkUQAAEz8Y?format=jpg&name=small'],https://twitter.com/YahooFinance/status/816394459344764928
3,Steve Burns,@SJosephBurns,2017-01-01T00:51:02.000Z,"In response to higher minimum wages on NY my McDonalds $MCD has already installed Kiosks. Good bye jobs.  via 
@adoxen","In response to higher minimum wages on NY my McDonalds $MCD has already installed Kiosks. Good bye jobs.  via 
@adoxen
15
33
46",,15,33,46,['https://pbs.twimg.com/media/CicUHLTUYAAQW5p?format=jpg&name=small'],https://twitter.com/SJosephBurns/status/815359646252859393
4,bored2tears,@bored2tears,2017-01-03T16:54:11.000Z,"[FT] ""It's only a matter of time"" before Starbucks' market cap exceeds that of McDonald's: Nomura. http://twitthat.com/OjHWx $MCD $SBUX","[FT] ""It's only a matter of time"" before Starbucks' market cap exceeds that of McDonald's: Nomura. http://twitthat.com/OjHWx $MCD $SBUX",,,,,['https://pbs.twimg.com/media/C1Qs5ArXgAAVMzj?format=jpg&name=small'],https://twitter.com/bored2tears/status/816326803430273024
5,David Moadel,@davidmoadel,2017-01-02T21:10:00.000Z,"$MCD #McDonalds: you can sneer, but it's the glue that holds communities together https://theguardian.com/business/2016/jun/08/mcdonalds-community-centers-us-physical-social-networks… #stocks #finance #investing $SPY","$MCD #McDonalds: you can sneer, but it's the glue that holds communities together https://theguardian.com/business/2016/jun/08/mcdonalds-community-centers-us-physical-social-networks… #stocks #finance #investing $SPY",,,,,[],https://twitter.com/davidmoadel/status/816028794108649472
6,Open Outcrier,@OpenOutcrier,2017-01-03T15:21:22.000Z,$MCD weak,"$MCD weak
2",,,,2,[],https://twitter.com/OpenOutcrier/status/816303446987075585
7,Kristin,@Kris_tin27,2017-01-03T21:42:25.000Z,Market Recap 1.2.17. $SWKS $MBLY $AMGN $REGN $NVDA $GS $HZNP $ENDP $VRX $BWLD $PNRA $MCD $NFLX $SPY $IBB & more.  http://precisiontrade365.com/market-recap-1-2-17-swks-amgn-regn-nvda-gs-hznp-endp-vrx-bwld-pnra-mcd-nflx-googl-spy-ibb-more/…,"Market Recap 1.2.17. $SWKS $MBLY $AMGN $REGN $NVDA $GS $HZNP $ENDP $VRX $BWLD $PNRA $MCD $NFLX $SPY $IBB & more.  http://precisiontrade365.com/market-recap-1-2-17-swks-amgn-regn-nvda-gs-hznp-endp-vrx-bwld-pnra-mcd-nflx-googl-spy-ibb-more/…
2
2",🌿,,2,2,[],https://twitter.com/Kris_tin27/status/816399340365299713
8,Robert Lee,@roberee,2017-01-02T13:52:39.000Z,$MCD Golden Arches in the Vatican. http://cnbc.com/2017/01/02/controversial-mcdonalds-opens-in-vatican-building-wi-fi-is-available.html…,"$MCD Golden Arches in the Vatican. http://cnbc.com/2017/01/02/controversial-mcdonalds-opens-in-vatican-building-wi-fi-is-available.html…
1",,,,1,[],https://twitter.com/roberee/status/815918731985584128
9,Susan Li,@SusanLiTV,2017-01-03T14:13:39.000Z,#restaurants playbook & food trends this year! #newyear $mcd $cke $cmg $yum http://video.cnbc.com/gallery/?video=3000580596…,"#restaurants playbook & food trends this year! #newyear $mcd $cke $cmg $yum http://video.cnbc.com/gallery/?video=3000580596…
1
5",,,1,5,[],https://twitter.com/SusanLiTV/status/816286403436875776
10,Trend Millwork,@TrendMillwork,2017-01-03T15:03:42.000Z,"""Oh Lord, A McVatican is about to open for business.""   http://seekingalpha.com/news/3232964-mcvatican-opens-business?source=tweet… $MCD","""Oh Lord, A McVatican is about to open for business.""   http://seekingalpha.com/news/3232964-mcvatican-opens-business?source=tweet… $MCD
seekingalpha.com
McVatican opens for business (NYSE:MCD)
A McDonald's (NYSE:MCD) has opened in the Vatican, despite protests from locals and top clerics.The branch is located just meters from St.",,,,,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/TrendMillwork/status/816299001934974976
