,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,InvertirEnDividendos,@InvertDividend,2019-01-03T18:12:12.000Z,"A mi me gustaría verla por la zona de los 155$-165$. Una de las ""deseadas inalcanzables""  

$MMM - 3M: Time To Buy The Dip Of This Dividend King With Dividend Increase Expected This Month
https://seekingalpha.com/article/4231155-3m-time-buy-dip-dividend-king-dividend-increase-expected-month?source=tweet…","A mi me gustaría verla por la zona de los 155$-165$. Una de las ""deseadas inalcanzables""  

$MMM - 3M: Time To Buy The Dip Of This Dividend King With Dividend Increase Expected This Month
https://seekingalpha.com/article/4231155-3m-time-buy-dip-dividend-king-dividend-increase-expected-month?source=tweet…
2
3
8",,2,3,8,[],https://twitter.com/InvertDividend/status/1080889578515558401
1,Seeking Alpha,@SeekingAlpha,2019-01-03T00:37:21.000Z,$MMM - 3M: Time To Buy The Dip Of This Dividend King With Dividend Increase Expected This Month,"$MMM - 3M: Time To Buy The Dip Of This Dividend King With Dividend Increase Expected This Month
seekingalpha.com
3M: Time To Buy The Dip Of This Dividend King With Dividend Increase Expected This Month (NYSE:MMM)
3M dividends are above average at 2.9% and have been increased for 60 years in a row as a Dividend King.
1
1
2",,1,1,2,['https://pbs.twimg.com/card_img/1501672372830670858/duBRYtoR?format=jpg&name=240x240'],https://twitter.com/SeekingAlpha/status/1080624119475916800
2,Market Sentiment Signals And Prediction,@MarketPredGuy,2019-01-03T13:10:11.000Z,"SeekingAlpha Comments Average Sentiment
$AMD $GOOG $FB $MMM $CAT","SeekingAlpha Comments Average Sentiment
$AMD $GOOG $FB $MMM $CAT",,,,,['https://pbs.twimg.com/media/Dv_SNzOWwAAy176?format=jpg&name=small'],https://twitter.com/MarketPredGuy/status/1080813573721542656
3,taxloss,@taxlosstrades,2019-01-03T22:04:16.000Z,Good luck to the holders of 2.7m $MMM Marley Spoon shares coming out of escrow this month - form an orderly queue,"Good luck to the holders of 2.7m $MMM Marley Spoon shares coming out of escrow this month - form an orderly queue
3
5",,3,,5,"['https://pbs.twimg.com/media/DwBMKHPVsAABlCv?format=jpg&name=small', 'https://pbs.twimg.com/media/DwBMZgpU8AA0z89?format=jpg&name=small']",https://twitter.com/taxlosstrades/status/1080947981979770880
4,StockMarketScoop,@StockScoops,2019-01-02T00:43:00.000Z,3M recalls some Bair Hugger underbody warming blankets http://startribune.com/3m-recalls-bair-hugger-underbody-warming-blankets/473963843/… $MMM #stocks #stockmarket,"3M recalls some Bair Hugger underbody warming blankets http://startribune.com/3m-recalls-bair-hugger-underbody-warming-blankets/473963843/… $MMM #stocks #stockmarket
startribune.com
3M recalls some Bair Hugger underbody warming blankets
The recall affects 33,000 cases that contain blankets with a design that makes them susceptible to an airflow blockage.",,,,,['https://pbs.twimg.com/card_img/1491723395070889985/FYqvT8xS?format=jpg&name=small'],https://twitter.com/StockScoops/status/1080263153403998209
5,Gary Reiner,@ELPfan,2019-01-01T03:06:41.000Z,"Merck, Pfizer top Dow 2018 standings; Goldman Sachs slides to the bottom...
https://seekingalpha.com/news/3419832?source=ansh… $MRK, $PFE, $MSFT, $NKE, $V, $CSCO, $UNH, $BA, $VZ, $KO, $MCD, $DIS, $INTC, $PG, $AXP, $WMT, $WBA, $AAPL, $JNJ, $JPM, $HD, $TRV, $CVX, $UTX, $XOM, $MMM, $CAT, $DWDP, $IBM, $GS, $GE","Merck, Pfizer top Dow 2018 standings; Goldman Sachs slides to the bottom...
https://seekingalpha.com/news/3419832?source=ansh… $MRK, $PFE, $MSFT, $NKE, $V, $CSCO, $UNH, $BA, $VZ, $KO, $MCD, $DIS, $INTC, $PG, $AXP, $WMT, $WBA, $AAPL, $JNJ, $JPM, $HD, $TRV, $CVX, $UTX, $XOM, $MMM, $CAT, $DWDP, $IBM, $GS, $GE
seekingalpha.com
Merck, Pfizer top Dow 2018 standings; Goldman Sachs slides to the bottom (NYSE:MRK)
Merck (NYSE:MRK) and Pfizer (NYSE:PFE) finish as the year's top gainers on the Dow Jones Industrial Average, as 14 of the 30 stocks in the index end in the green vs.",,,,,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/ELPfan/status/1079936924108779520
6,TeresaTrades,@TeresaTrades,2019-01-02T21:20:07.000Z,$MRK $WFC $BABA $T $LIN $ABT $BAC $BRK.B $VZ $DWDP $HON $MMM $WELL $GS $CAT $KO $RTN $BK $MDT $DG $QEP Largest MOC BUYS,$MRK $WFC $BABA $T $LIN $ABT $BAC $BRK.B $VZ $DWDP $HON $MMM $WELL $GS $CAT $KO $RTN $BK $MDT $DG $QEP Largest MOC BUYS,,,,,['https://pbs.twimg.com/media/Dv74witVYAAPT6L?format=jpg&name=small'],https://twitter.com/TeresaTrades/status/1080574481096003584
7,LiveSquawk,@LiveSquawk,2019-01-03T09:34:16.000Z,3M: Credit Suisse Cuts PT To $220 From $230  $MMM,"3M: Credit Suisse Cuts PT To $220 From $230  $MMM
1
1",,,1,1,[],https://twitter.com/LiveSquawk/status/1080759236920004608
8,Michael Bryant,@modestus1,2019-01-03T14:58:50.000Z,"""A handful of elite dividend stocks have put together impressive streaks of regular annual dividend increases: 3M ( $MMM), Chevron ( $CVX), and Aflac ( $AFL)..."" When stock prices get volatile, focus on dividend growth stocks. https://yahoo.com/finance/news/expect-quick-2019-dividend-increase-113200438.html…","""A handful of elite dividend stocks have put together impressive streaks of regular annual dividend increases: 3M ( $MMM), Chevron ( $CVX), and Aflac ( $AFL)..."" When stock prices get volatile, focus on dividend growth stocks. https://yahoo.com/finance/news/expect-quick-2019-dividend-increase-113200438.html…",,,,,[],https://twitter.com/modestus1/status/1080840918440312833
9,PHILOSOPHY,@WSJticks,2019-01-03T15:48:21.000Z,"If you are holding $mmm here, you will get a chance to buy it cheaper","If you are holding $mmm here, you will get a chance to buy it cheaper
1",,,,1,[],https://twitter.com/WSJticks/status/1080853379759423488
10,PHILOSOPHY,@WSJticks,2019-01-03T16:07:34.000Z,$ABT And $mmm are similar.. we have counted 3 major intraday tops and failures...,"$ABT And $mmm are similar.. we have counted 3 major intraday tops and failures...
1",,,,1,[],https://twitter.com/WSJticks/status/1080858215380860928
11,Obi,@aaaamhim,2019-01-02T03:38:47.000Z,"$ELED 002 250 mil A/S & 249.5 milli O/S? Shares maxed ran 6000% last year after my alert
$TOPS $OHGI $SHLD $EDU $NBEV $TLRY $CGC $PLAG $NCTY $RGLS $TTNP $HMNY $CASA $CAT $MCD $MMM $RY $AAXJ $SYF $ISRG $MACK $TAOP $KSU $CREG $EBAY $BABA $BLRX $NVCN $SBUX $XOM $C $JPM $FNMA $DRYS","$ELED 002 250 mil A/S & 249.5 milli O/S? Shares maxed ran 6000% last year after my alert
$TOPS $OHGI $SHLD $EDU $NBEV $TLRY $CGC $PLAG $NCTY $RGLS $TTNP $HMNY $CASA $CAT $MCD $MMM $RY $AAXJ $SYF $ISRG $MACK $TAOP $KSU $CREG $EBAY $BABA $BLRX $NVCN $SBUX $XOM $C $JPM $FNMA $DRYS
1",💸,,,1,[],https://twitter.com/aaaamhim/status/1080307391302897664
12,PHILOSOPHY,@WSJticks,2019-01-03T20:08:30.000Z,$mmm even if they take all the way higher... it is going to end up at $178.... failed breakouts,"$mmm even if they take all the way higher... it is going to end up at $178.... failed breakouts
1",,,,1,[],https://twitter.com/WSJticks/status/1080918848889606150
13,stockbard,@stockbard,2019-01-03T20:15:34.000Z,"$MEN $ARE $AT $A $SHOP
$MMM! $IM $FOR $A $SON
$HI!","$MEN $ARE $AT $A $SHOP
$MMM! $IM $FOR $A $SON
$HI!",,,,,[],https://twitter.com/stockbard/status/1080920625508581377
