,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Helen Ong,@Lin_ling_88,2018-01-03T14:03:48.000Z,"$ONCS 
Complete stage 1 enrollment of PISCES/KEYNOTE-695 clinical trial of ImmunoPulse® IL-12 in combination with KEYTRUDA (pembrolizumab) $MRK

Present preliminary data from PISCES/KEYNOTE-695 at a medical meeting https://finance.yahoo.com/news/oncosec-provides-2018-business-outlook-130000325.html…","$ONCS 
Complete stage 1 enrollment of PISCES/KEYNOTE-695 clinical trial of ImmunoPulse® IL-12 in combination with KEYTRUDA (pembrolizumab) $MRK

Present preliminary data from PISCES/KEYNOTE-695 at a medical meeting https://finance.yahoo.com/news/oncosec-provides-2018-business-outlook-130000325.html…
1
3
13",💥 💥,1,3,13,[],https://twitter.com/Lin_ling_88/status/948555498890113025
1,Bursatil Biotech,@BursatilBiotech,2018-01-03T11:30:12.000Z,"Results of early clinical trials of novel agents  #MultipleMyeloma
$KPTI $SNY $GSK $NVS $MRK","Results of early clinical trials of novel agents  #MultipleMyeloma
$KPTI $SNY $GSK $NVS $MRK
1
2
7",,1,2,7,['https://pbs.twimg.com/media/DSnOCqwWAAAkWV8?format=jpg&name=small'],https://twitter.com/BursatilBiotech/status/948516841584037888
2,HJ,@PhDInvestor,2018-01-02T04:22:27.000Z,"Table shows the average probability of failing each pahse of the FDA drug debelopment process, broken down by disease group. Failure rate data comes from 2006-2015 (Thomas et al., 2016). Use it on your due dilligence before allocating to any pharma  company. $SNY $NVS $MRK $PTLA","Table shows the average probability of failing each pahse of the FDA drug debelopment process, broken down by disease group. Failure rate data comes from 2006-2015 (Thomas et al., 2016). Use it on your due dilligence before allocating to any pharma  company. $SNY $NVS $MRK $PTLA
3
6",,,3,6,['https://pbs.twimg.com/media/DSgjiVpXUAE7HyI?format=jpg&name=small'],https://twitter.com/PhDInvestor/status/948046809037004803
3,Seeking Alpha,@SeekingAlpha,2018-01-02T23:18:08.000Z,$ABBV $BMY $GSK $IBB $JNJ $MRK $GILD,"$ABBV $BMY $GSK $IBB $JNJ $MRK $GILD
seekingalpha.com
Gilead Might Want To Consider Selling Its HCV Drug Business To China (NASDAQ:GILD)
Gilead shares have underperformed on concerns about declining hepatitis C, or HCV, product sales and fierce competition in the HIV drug business.",,,,,[],https://twitter.com/SeekingAlpha/status/948332610689761281
4,Breaking News,@MarketCurrents,2018-01-02T12:21:35.000Z,Merck's Keytruda OK'd in Japan for treatment-resistant bladder cancer https://seekingalpha.com/news/3320560-mercks-keytruda-okd-japan-treatment-resistant-bladder-cancer?source=feed_f… #premarket $MRK,"Merck's Keytruda OK'd in Japan for treatment-resistant bladder cancer https://seekingalpha.com/news/3320560-mercks-keytruda-okd-japan-treatment-resistant-bladder-cancer?source=feed_f… #premarket $MRK
seekingalpha.com
Merck's Keytruda OK'd in Japan for treatment-resistant bladder cancer (NYSE:MRK)
The Japanese Ministry of Health, Labor and Welfare approves Merck's (NYSE:MRK) KEYTRUDA (pembrolizumab) for the treatment of patients with radically unresectable urothelial carcinoma...",,,,,['https://pbs.twimg.com/card_img/1495187926770196488/XbSaCIFV?format=png&name=240x240'],https://twitter.com/MarketCurrents/status/948167383658541058
5,Helen Ong,@Lin_ling_88,2018-01-03T13:10:54.000Z,"$MRK to hold ER conference call on Feb 2 (Q4, FY17) https://finance.yahoo.com/news/merck-hold-fourth-quarter-full-114500105.html…","$MRK to hold ER conference call on Feb 2 (Q4, FY17) https://finance.yahoo.com/news/merck-hold-fourth-quarter-full-114500105.html…",,,,,[],https://twitter.com/Lin_ling_88/status/948542184139182080
6,Greg5thTrad,@Greg5thTrad,2018-01-02T23:46:07.000Z,"Money Flows: Buying on Weakness: Among stocks that were TUE, these had the largest net inflows of money $AGG $T $IYR $MRK $RTN $ADP $CAT $KHC $ITW $SPAB $LMT $NOC
 #defence","Money Flows: Buying on Weakness: Among stocks that were TUE, these had the largest net inflows of money $AGG $T $IYR $MRK $RTN $ADP $CAT $KHC $ITW $SPAB $LMT $NOC
 #defence",⬇,,,,['https://pbs.twimg.com/media/DSkt3I4VwAA2Jne?format=jpg&name=small'],https://twitter.com/Greg5thTrad/status/948339652750176257
7,Finscreener,@Finscreener,2018-01-02T17:49:42.000Z,"Dow Jones 30 Top loosers 2017 $GE -43.83%, $MRK -7.57%, $XOM -6.42%, $IBM -6.38%, $VZ -0.08%, $DIS 0.82%, $GS 3.69% https://finscreener.com/screener/top-gainers…","Dow Jones 30 Top loosers 2017 $GE -43.83%, $MRK -7.57%, $XOM -6.42%, $IBM -6.38%, $VZ -0.08%, $DIS 0.82%, $GS 3.69% https://finscreener.com/screener/top-gainers…
1
1",,,1,1,['https://pbs.twimg.com/media/DSjcT-2WkAU2qfG?format=jpg&name=small'],https://twitter.com/Finscreener/status/948249959605981184
8,max pain,@optioncharts,2018-01-02T15:26:42.000Z,$MRK open interest for maturity 01/05/2018. High put=55.50 High call=57.00 #maxpain #options http://bit.ly/2DA7txS,$MRK open interest for maturity 01/05/2018. High put=55.50 High call=57.00 #maxpain #options http://bit.ly/2DA7txS,,,,,['https://pbs.twimg.com/media/DSi7lRwX0AAJhUv?format=jpg&name=small'],https://twitter.com/optioncharts/status/948213972926427138
9,Bio Stocks™,@BioStocks,2018-01-02T12:01:31.000Z,$MRK KEYTRUDA Approved in Japan for Use in the Treatment of Patients with Urothelial Carcinoma That is Unresectable with Radical Surgery Who Have Progressed Following Cancer Chemotherapy,"$MRK KEYTRUDA Approved in Japan for Use in the Treatment of Patients with Urothelial Carcinoma That is Unresectable with Radical Surgery Who Have Progressed Following Cancer Chemotherapy
1
2",,,1,2,[],https://twitter.com/BioStocks/status/948162336178675714
