,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Michaël van de Poppe,@CryptoMichNL,2019-01-01T09:14:12.000Z,"December Performers

Crypto:
$BTC -0.3%
$ETH +20.2%
$LTC -2.2%
$XRP 0%
$STRAT +50.5%

Stock Indexes:
$DJI -10.2%
$NDX -10.8%
$DAX -9.5% 
$NKY -11.9%

Major Stocks:
$AAPL -14.5%
$AMZN -15.4%
$MSFT -10.4%

Others:
$GOLD +5.7%
$SILVER +9.5%

Crypto outperformed stocks last month!","December Performers

Crypto:
$BTC -0.3%
$ETH +20.2%
$LTC -2.2%
$XRP 0%
$STRAT +50.5%

Stock Indexes:
$DJI -10.2%
$NDX -10.8%
$DAX -9.5% 
$NKY -11.9%

Major Stocks:
$AAPL -14.5%
$AMZN -15.4%
$MSFT -10.4%

Others:
$GOLD +5.7%
$SILVER +9.5%

Crypto outperformed stocks last month!
4
24
114",,4,24,114,[],https://twitter.com/CryptoMichNL/status/1080029412660310022
1,kpak,@kpak82,2019-01-03T17:18:58.000Z,$MSFT,"$MSFT
1
10",,1,,10,['https://pbs.twimg.com/media/DwALKPkX4AIdN-2?format=jpg&name=small'],https://twitter.com/kpak82/status/1080876183305285632
2,Option_Sniper,@option_snipper,2019-01-02T06:36:54.000Z,Which one of the following four “combos” do you think will post the BEST performance among tech names in 2019? $fb $amzn $nflx $googl $nvda $baba $aapl $tsla $msft,"Which one of the following four “combos” do you think will post the BEST performance among tech names in 2019? $fb $amzn $nflx $googl $nvda $baba $aapl $tsla $msft
FANG - fb amzn nflx googl
11.2%
ANT - amzn nvda tsla
33.1%
BAG - baba aapl googl
14.6%
MAN - msft amzn nflx
41.1%
3,268 votes
·
Final results
30
11
75",,30,11,75,[],https://twitter.com/option_snipper/status/1080352216005951488
3,Michael Sheetz,@thesheetztweetz,2019-01-03T15:55:25.000Z,"Full list of S&P 500 companies with values more than the $446 billion Apple has lost since Oct. 3:

Microsoft $MSFT
Amazon $AMZN
Alphabet $GOOGL
Berkshire Hathaway $BRKB","Full list of S&P 500 companies with values more than the $446 billion Apple has lost since Oct. 3:

Microsoft $MSFT
Amazon $AMZN
Alphabet $GOOGL
Berkshire Hathaway $BRKB
cnbc.com
Apple just lost a Facebook: Market value decline since peak exceeds value of nearly any US company
In only three months, Apple has lost $452 billion in market capitalization — and counting, as the tech giant's stock falls further Thursday.
2
32
37",,2,32,37,['https://pbs.twimg.com/card_img/1501672185026461701/H7uXy3se?format=jpg&name=small'],https://twitter.com/thesheetztweetz/status/1080855155556446208
4,Shannan Siemens,@ShannanSiemens,2019-01-02T12:29:33.000Z,"Welcome to the 1st trading day of 2019!

Here's how 2018 shook out:
NASDAQ (-5.3%)
DOW        (-6.03%)
S&P           (-7.01%)

2018 Dow Winners
$MRK      +36%
$PFE         +20%
$MSFT     +18%

2018 Dow Laggards
$GS          (-35%)
$IBM        (-26%)
$DWDP   (-26%)
@SquawkStreet","Welcome to the 1st trading day of 2019!

Here's how 2018 shook out:
NASDAQ (-5.3%)
DOW        (-6.03%)
S&P           (-7.01%)

2018 Dow Winners
$MRK      +36%
$PFE         +20%
$MSFT     +18%

2018 Dow Laggards
$GS          (-35%)
$IBM        (-26%)
$DWDP   (-26%)
@SquawkStreet
GIF
2
13",,,2,13,['https://pbs.twimg.com/tweet_video_thumb/Dv5_LwqXQAAwmCl.jpg'],https://twitter.com/ShannanSiemens/status/1080440961921101825
5,Tiernan Ray,@TiernanRayTech,2019-01-03T17:57:38.000Z,Why Amazon Should Issue a Tracking Stock for AWS - TheStreet  // $AMZN $AAPL $DELL $MSFT,"Why Amazon Should Issue a Tracking Stock for AWS - TheStreet  // $AMZN $AAPL $DELL $MSFT
thestreet.com
Why Amazon should issue a tracking stock for its cloud division
2019 could be the year Amazon experiments with issuing a tracking stock for its economic interest in its AWS cloud computing unit.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1501643430165979138/hcnPy47Z?format=jpg&name=small'],https://twitter.com/TiernanRayTech/status/1080885915294318592
6,"Raymond-Nature, Animals & Trade Markets",@raymond10mm,2019-01-03T03:19:27.000Z,$aapl dropped 8% after hours when it gave a revenue warning. Time for a new CEO... $nvda $amzn $tsla $qqq $spy $tlt $intc $msft $dell,"$aapl dropped 8% after hours when it gave a revenue warning. Time for a new CEO... $nvda $amzn $tsla $qqq $spy $tlt $intc $msft $dell
4",📈 📉,,,4,['https://pbs.twimg.com/media/Dv9K-QXWkAEJPbT?format=jpg&name=small'],https://twitter.com/raymond10mm/status/1080664911787819008
7,Analyst Stins,@AnalystStins,2019-01-02T11:50:17.000Z,$MSFT still reigning #1 spot as the most valuable company in the world. #Microsoft,"$MSFT still reigning #1 spot as the most valuable company in the world. #Microsoft
1
2",,,1,2,[],https://twitter.com/AnalystStins/status/1080431080715546624
8,Jeremy C. Owens,@jowens510,2019-01-02T23:25:56.000Z,"The Apple forecast cut is hitting all the big tech stocks in late trading.
https://on.mktw.net/2Vnqe1i

$AAPL: -7%+
$MSFT: -2.2%
$AMZN: -2.6%
$GOOG: -1.9%
$NFLX: -3%
$FB: -1.6%
$AVGO: -4.7%
$NVDA: -4.2%
$MU: -2.7%
$ADBE: -3.4%
$CRM: -3.2%
$HPQ: -2.9%

$AMD: -3%","The Apple forecast cut is hitting all the big tech stocks in late trading.
https://on.mktw.net/2Vnqe1i

$AAPL: -7%+
$MSFT: -2.2%
$AMZN: -2.6%
$GOOG: -1.9%
$NFLX: -3%
$FB: -1.6%
$AVGO: -4.7%
$NVDA: -4.2%
$MU: -2.7%
$ADBE: -3.4%
$CRM: -3.2%
$HPQ: -2.9%

$AMD: -3%
2
4
2",,2,4,2,[],https://twitter.com/jowens510/status/1080606143733411841
9,kpak,@kpak82,2019-01-03T19:01:15.000Z,$MSFT weee,"$MSFT weee
7",,,,7,['https://pbs.twimg.com/media/DwAikaVWkAYm0dY?format=jpg&name=900x900'],https://twitter.com/kpak82/status/1080901925799976961
10,Maria Chaudhry,@mchaudhry82,2019-01-02T03:33:45.000Z,Wed’s Watch 1 $AAPL $AMZN $AMD $BABA $FB $BA $GOOGL $MSFT $MA $CMG $ADBE $CRM $INTC $NVDA $MU $NFLX $PG $PYPL $GE $KO $MAR $AVGR $GSAT,"Wed’s Watch 1 $AAPL $AMZN $AMD $BABA $FB $BA $GOOGL $MSFT $MA $CMG $ADBE $CRM $INTC $NVDA $MU $NFLX $PG $PYPL $GE $KO $MAR $AVGR $GSAT
7",,,,7,['https://pbs.twimg.com/media/Dv4EsRKWoAA5aPB?format=jpg&name=small'],https://twitter.com/mchaudhry82/status/1080306121351548933
11,Philip Calrissian,@Trading_Sunset,2019-01-03T00:44:41.000Z,"$MSFT settled 2018 badly, under m/t rising trend, the key 10MA, and psy'100. Support 85s. The sp'1500 'crazy talk' people could target 40/39.","$MSFT settled 2018 badly, under m/t rising trend, the key 10MA, and psy'100. Support 85s. The sp'1500 'crazy talk' people could target 40/39.
2",,,,2,['https://pbs.twimg.com/media/Dv8nXOdWwAAYW9K?format=jpg&name=small'],https://twitter.com/Trading_Sunset/status/1080625965078847488
12,I Know First,@i_Know_First,2019-01-01T11:52:06.000Z,"Weekly Stock Market Review: 
Top 10 Stocks For 2019 Based on #AI:

http://messages.responder.co.il/3614701/ 

Happy Investing!
$NVDA $AAPL $ZNGA $AMD $MU $FB $GOOGL $MSFT #stockstowatch #tradingpsychology #StocksInNews #stocks #TradingView #trading #Investing2019 #investments $TSLA $DIA $DJIA $MU","Weekly Stock Market Review: 
Top 10 Stocks For 2019 Based on #AI:

http://messages.responder.co.il/3614701/ 

Happy Investing!
$NVDA $AAPL $ZNGA $AMD $MU $FB $GOOGL $MSFT #stockstowatch #tradingpsychology #StocksInNews #stocks #TradingView #trading #Investing2019 #investments $TSLA $DIA $DJIA $MU
2
5",,,2,5,['https://pbs.twimg.com/media/Dv0tHt0X4AA9zhX?format=jpg&name=small'],https://twitter.com/i_Know_First/status/1080069148686864385
13,SheepWolf,@realsheepwolf,2019-01-02T17:46:08.000Z," $KNDI: LOOKING FOR NEW HIGHS, MAY BE THE MOST UNDERVALUED EV COMPANY ON THE NASDAQ
http://en.kandivehicle.com/Default.aspx

$TSLA $NIO $VTVT $SGYP $SMRT $CYRX $KEQU $SFET $FET $NVLN $AMRS $DXYN $NFLX $FB $TWTR $MSFT $DCIX"," $KNDI: LOOKING FOR NEW HIGHS, MAY BE THE MOST UNDERVALUED EV COMPANY ON THE NASDAQ
http://en.kandivehicle.com/Default.aspx

$TSLA $NIO $VTVT $SGYP $SMRT $CYRX $KEQU $SFET $FET $NVLN $AMRS $DXYN $NFLX $FB $TWTR $MSFT $DCIX
2",🟢 👉,,,2,"['https://pbs.twimg.com/media/Dv7HWpOUcAAk3Nj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Dv7HXi7UUAAFjbl?format=jpg&name=360x360']",https://twitter.com/realsheepwolf/status/1080520633816150016
14,tradewithjoe,@tradewithjoe,2019-01-03T03:00:06.000Z,"Are you ready for more volatility? 

https://bit.ly/2s2fmbG <<< Click to watch video. It is really cool. You will love it. I promise. 
 
$es_f $SPY $SPX $QQQ $IWM $MSFT $AMZN $GOOGL $AAPL $XLF $VIX $VXX $UVXY","Are you ready for more volatility? 

https://bit.ly/2s2fmbG <<< Click to watch video. It is really cool. You will love it. I promise. 
 
$es_f $SPY $SPX $QQQ $IWM $MSFT $AMZN $GOOGL $AAPL $XLF $VIX $VXX $UVXY
2",,,,2,['https://pbs.twimg.com/media/Dv9GlJrXQAAWNkL?format=jpg&name=small'],https://twitter.com/tradewithjoe/status/1080660043610107904
15,Theologos Sosonis,@sosonis,2019-01-02T23:42:36.000Z,"First time after 20 years. Tomorrow $AAPL will slide further behind $AMZN & $MSFT, will drop maybe to 4th place behind $GOOGL.
It was a $1.1 tn company just a quarter ago.","First time after 20 years. Tomorrow $AAPL will slide further behind $AMZN & $MSFT, will drop maybe to 4th place behind $GOOGL.
It was a $1.1 tn company just a quarter ago.
Neil Cybart
@neilcybart
 · 3 Jan 2019
Wow. Apple issues revised 1Q19 guidance lower.
Show this thread
1
2",,1,,2,['https://pbs.twimg.com/profile_images/550804324977086464/rvNSCyf0_mini.jpeg'],https://twitter.com/sosonis/status/1080610338696036357
16,Patrick Moorhead #MitelAnalystDay2022,@PatrickMoorhead,2019-01-01T01:34:29.000Z,"Microsoft had an incredible year, for sure.  It did what most people didn’t expect, which really confused its competitors and their red team scenario planners.  $MSFT","Microsoft had an incredible year, for sure.  It did what most people didn’t expect, which really confused its competitors and their red team scenario planners.  $MSFT
Josh Lipton
@joshuahlipton
 · 1 Jan 2019
.@jordannovet latest on $MSFT: first time it's ending the year as world's highest valued public company since 2002  https://cnb.cx/2s2N40F
1
3
8",,1,3,8,['https://pbs.twimg.com/profile_images/1417518803852922884/fSKgh13u_mini.jpg'],https://twitter.com/PatrickMoorhead/status/1079913719243493376
17,SheepWolf,@realsheepwolf,2019-01-02T19:48:26.000Z," $KNDI: CONTINUES IN BEAST MODE, SEVERELY UNDERVALUED EV PLAYER

$TSLA $NIO $VTVT $SGYP $SMRT $CYRX $KEQU $SFET $FET $NVLN $AMRS $DXYN $NFLX $FB $TWTR $MSFT $DCIX"," $KNDI: CONTINUES IN BEAST MODE, SEVERELY UNDERVALUED EV PLAYER

$TSLA $NIO $VTVT $SGYP $SMRT $CYRX $KEQU $SFET $FET $NVLN $AMRS $DXYN $NFLX $FB $TWTR $MSFT $DCIX
GIF
2",🟢 💰,,,2,['https://pbs.twimg.com/tweet_video_thumb/Dv7jwSHVAAELCxt.jpg'],https://twitter.com/realsheepwolf/status/1080551410637459456
18,Dwyane,@Dwyanosaurus,2019-01-02T21:50:55.000Z,$MSFT and $GOOG roll over tmro,"$MSFT and $GOOG roll over tmro
1
2",,1,,2,[],https://twitter.com/Dwyanosaurus/status/1080582232501305344
19,andrew ross,@andrewross11,2019-01-03T04:48:40.000Z,"$amzn still overvalued 15-20x; financial statements are impossible to read; more than likely fraudulent; has at least 125 billion in debt; AWS; ludicrous to think they can offer better service, product than $orcl or $msft; they have ZERO in real assets that are not offset by debt","$amzn still overvalued 15-20x; financial statements are impossible to read; more than likely fraudulent; has at least 125 billion in debt; AWS; ludicrous to think they can offer better service, product than $orcl or $msft; they have ZERO in real assets that are not offset by debt
5
4",,5,,4,[],https://twitter.com/andrewross11/status/1080687363125211136
20,David Moadel,@davidmoadel,2019-01-03T17:50:18.000Z,What to Do if You're Down on Your Stock Position https://youtube.com/watch?v=vffCCSxxG0A&fmt=22… $SLV $CELG $GLD $QQQ $DJIA $DIA $BTC $ETH $SPY #stockmarket #commodities #investing #finance #stocks #gold #silver $FB $TWTR $AAPL $AMZN $TSLA $INTC $AMD $NFLX $INTC $MU $NVDA $MSFT $AAL $BMY $CGC $TLRY $TLT,"What to Do if You're Down on Your Stock Position https://youtube.com/watch?v=vffCCSxxG0A&fmt=22… $SLV $CELG $GLD $QQQ $DJIA $DIA $BTC $ETH $SPY #stockmarket #commodities #investing #finance #stocks #gold #silver $FB $TWTR $AAPL $AMZN $TSLA $INTC $AMD $NFLX $INTC $MU $NVDA $MSFT $AAL $BMY $CGC $TLRY $TLT
youtube.com
What to Do if You're Down on Your Stock Position
What to Do if You're Down on Your Stock Position // Want more help from David Moadel? Contact me at davidmoadel @ gmail . comSubscribe to my YouTube channel:...
1",,,,1,['https://pbs.twimg.com/card_img/1501663389252268033/4pUlN2Vh?format=jpg&name=240x240'],https://twitter.com/davidmoadel/status/1080884069972537344
