,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,A. Maceroni,@AnthonyMaceroni,2018-01-02T02:31:37.000Z,"2018 charts of interest looking to breakout (some again)...
$DIS, $NKE, $MU, $BIDU","2018 charts of interest looking to breakout (some again)...
$DIS, $NKE, $MU, $BIDU
2
9
19",🍝,2,9,19,"['https://pbs.twimg.com/media/DSgJSDVXUAAP6IG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DSgJoCPXUAAuCzF?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DSgJwouWsAA0duk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/DSgKFGgX4AAdWis?format=jpg&name=360x360']",https://twitter.com/AnthonyMaceroni/status/948018917544546304
1,WallStreetUnicorn,@WallStUnicorn,2018-01-02T21:04:57.000Z,Here is one to watch in 2018 $NKE with a double inside year. Now that is some equilibrium (near all time highs),"Here is one to watch in 2018 $NKE with a double inside year. Now that is some equilibrium (near all time highs)
1
6",,,1,6,['https://pbs.twimg.com/media/DSkI_NrW0AAAMPz?format=jpg&name=900x900'],https://twitter.com/WallStUnicorn/status/948299093398511616
2,Gareth Soloway,@GarethSoloway,2018-01-03T17:32:05.000Z,Shame on $NKE for endorsing Kyrie Irving's belief that the earth is flat. Didn't we go through the Middle Ages already? Ignorance from a multi-billion Dollar corporation is unacceptable. #BoycottNike https://yahoo.com/sports/kyrie-irving-nike-double-spreading-flat-earth-ignorance-043319683.html…,"Shame on $NKE for endorsing Kyrie Irving's belief that the earth is flat. Didn't we go through the Middle Ages already? Ignorance from a multi-billion Dollar corporation is unacceptable. #BoycottNike https://yahoo.com/sports/kyrie-irving-nike-double-spreading-flat-earth-ignorance-043319683.html…
2
1",,,2,1,[],https://twitter.com/GarethSoloway/status/948607914436001792
3,JefferiesEvents,@JefferiesEvents,2018-01-03T17:21:52.000Z,"Jefferies' Equity Analyst Randy Konik discusses $NKE and his 2018 outlook for #retail and #apparel on 
@CNBC
 http://ow.ly/NZha30hyRLA","Jefferies' Equity Analyst Randy Konik discusses $NKE and his 2018 outlook for #retail and #apparel on 
@CNBC
 http://ow.ly/NZha30hyRLA
1
1",,,1,1,[],https://twitter.com/JefferiesEvents/status/948605340798636039
4,D B,@smugtwo,2018-01-02T21:19:12.000Z,$NKE $UAA leaked 18/19 kit for Tottenham Hotspur looks cheezy as F. Bring back Under Armour,$NKE $UAA leaked 18/19 kit for Tottenham Hotspur looks cheezy as F. Bring back Under Armour,,,,,['https://pbs.twimg.com/media/DSkMQtDWAAE1fSJ?format=jpg&name=small'],https://twitter.com/smugtwo/status/948302681877004288
5,Stanley Suen,@stanleysuen,2018-01-02T03:05:03.000Z,"Nike stock went up 10% strong after earning beat! $NKE, #Invest, #Stock, #US-Stock http://fincharts.blogspot.com/2017/06/nike-stock-went-up-10-strong-after.html…","Nike stock went up 10% strong after earning beat! $NKE, #Invest, #Stock, #US-Stock http://fincharts.blogspot.com/2017/06/nike-stock-went-up-10-strong-after.html…
2",,,2,,[],https://twitter.com/stanleysuen/status/948027330978598912
6,Walter S.,@WaltStreetPro,2018-01-01T17:39:21.000Z,Today is #NewYearsDay that means we all need to ask ourselves: Is my current trading plan working? $BTC $GBTC $SPY $WMT $AAPL $AMZN $QQQ $DIA $TSLA $FB $BIDU $BABA $GOOG $GOOGL $MSFT $JPM $BAC $BA $INTC $EBAY $PCLN $SNAP $TWTR $MCD $CAT $V $MA $TGT $NKE $TCEHY $UA $JCP $M $VZ $T,"Today is #NewYearsDay that means we all need to ask ourselves: Is my current trading plan working? $BTC $GBTC $SPY $WMT $AAPL $AMZN $QQQ $DIA $TSLA $FB $BIDU $BABA $GOOG $GOOGL $MSFT $JPM $BAC $BA $INTC $EBAY $PCLN $SNAP $TWTR $MCD $CAT $V $MA $TGT $NKE $TCEHY $UA $JCP $M $VZ $T
4",,,,4,[],https://twitter.com/WaltStreetPro/status/947884965404073984
7,SmallCaps,@SmallCaps33,2018-01-03T07:53:13.000Z,http://bit.ly/2fry3Bj  This newsletter provides resources needed to get started with penny stocks  $YMC $CM $NKE $GOOGL,"http://bit.ly/2fry3Bj  This newsletter provides resources needed to get started with penny stocks  $YMC $CM $NKE $GOOGL
stockmillionaires.com
Microcap Millionaires Review - What you need to know before purchasing!
My in-depth Microcap Millionaires review. I would recommend this service as one of the best stock alerts services for small cap stocks.",,,,,['https://pbs.twimg.com/card_img/1501699035924680710/Kp-PmE8p?format=png&name=240x240'],https://twitter.com/SmallCaps33/status/948462235692670976
8,Chameleon Options,@MC_OptionTrades,2018-01-02T22:31:18.000Z,Price Returns vs Expected Daily Move $WATT $UAA $TSLA $GM $AAPL $NKE $F $KO $STZ $MO $PEP $GPRO http://tinyurl.com/y7zbwhgq,Price Returns vs Expected Daily Move $WATT $UAA $TSLA $GM $AAPL $NKE $F $KO $STZ $MO $PEP $GPRO http://tinyurl.com/y7zbwhgq,🦎,,,,['https://pbs.twimg.com/media/DSkcw32X4AAtxi2?format=jpg&name=small'],https://twitter.com/MC_OptionTrades/status/948320825077313537
9,42 Stocks,@42Stocks,2018-01-02T17:59:01.000Z,http://42stocks.com consumer nondurables | 5 largest movers = $ABEV $pep $BUD $pm $NKE | http://42stocks.com top5 in sector = $VCO $SNE $KBSF $CAL $ANFI,http://42stocks.com consumer nondurables | 5 largest movers = $ABEV $pep $BUD $pm $NKE | http://42stocks.com top5 in sector = $VCO $SNE $KBSF $CAL $ANFI,,,,,['https://pbs.twimg.com/media/DSjecZSVwAA8-NS?format=png&name=small'],https://twitter.com/42Stocks/status/948252302812442624
