,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,ThePitBoss,@ThePitBoss16,2019-01-03T17:33:58.000Z,"The Dogs of The Dow 2019 $DJIA
$IBM $XOM $VZ $CVX $PFE $KO $JPM $PG $CSCO $MRK
Yield v Market Risk? https://traderscommunity.com/index.php/stocks/1277-dogs-of-the-dow-2019…","The Dogs of The Dow 2019 $DJIA
$IBM $XOM $VZ $CVX $PFE $KO $JPM $PG $CSCO $MRK
Yield v Market Risk? https://traderscommunity.com/index.php/stocks/1277-dogs-of-the-dow-2019…
3
4
6",,3,4,6,['https://pbs.twimg.com/media/DwAOSmMUcAA-qfR?format=jpg&name=small'],https://twitter.com/ThePitBoss16/status/1080879958694727681
1,UPBOptionMil,@UPBOptionMil,2019-01-02T12:34:41.000Z,Some of todays top open interest changes 1.2.18  $TWTR $RIG $VIPS $BAC $PG $SNAP $FB $JD,"Some of todays top open interest changes 1.2.18  $TWTR $RIG $VIPS $BAC $PG $SNAP $FB $JD
5
7",,,5,7,['https://pbs.twimg.com/media/Dv6AcJXXcAY8nEi?format=jpg&name=small'],https://twitter.com/UPBOptionMil/status/1080442252227477504
2,Tom Renna,@534Fourthave,2019-01-02T15:51:23.000Z,#EquitiesResearch: Stock Market Capitalization of the 50 Largest America $MSFT $HD $AAPL $GOOG $FB $AMZN $NFLX $V $WMT $WFC $XOM $JPM $KO $F $VZ $T $PG $JNJ iweblists  https://newsgrade.blogspot.com/2019/01/stock-market-capitalization-of-50.html…,"#EquitiesResearch: Stock Market Capitalization of the 50 Largest America $MSFT $HD $AAPL $GOOG $FB $AMZN $NFLX $V $WMT $WFC $XOM $JPM $KO $F $VZ $T $PG $JNJ iweblists  https://newsgrade.blogspot.com/2019/01/stock-market-capitalization-of-50.html…
3
5",,,3,5,['https://pbs.twimg.com/media/Dv6tazeWoAERB5R?format=jpg&name=small'],https://twitter.com/534Fourthave/status/1080491755353587715
3,The Trading Analyst,@Trading_Analyst,2019-01-03T23:47:24.000Z,"[TRADE RESULTS UPDATE] 12 wins, 0 losses  $AVGO $ADBE $WYNN $PG $FB $INTC $BIDU $IBM $AAPL $GOOGL $TXN $GS $SPX $SPY $QQQ $VIX $USO $XLF","[TRADE RESULTS UPDATE] 12 wins, 0 losses  $AVGO $ADBE $WYNN $PG $FB $INTC $BIDU $IBM $AAPL $GOOGL $TXN $GS $SPX $SPY $QQQ $VIX $USO $XLF
1",,,,1,['https://pbs.twimg.com/media/DwBkEInVAAA8XYb?format=jpg&name=small'],https://twitter.com/Trading_Analyst/status/1080973934902812672
4,Smart Money Action,@smartmoneyact,2019-01-02T20:57:26.000Z,"Options buying recap from Monday 12/31! SR = stock replacement

OI was reviewed to verify the number of contracts added.

$PG $SPOT $TWTR $BAC $AAPL $FB $NVDA $PEP $CAH $DISH $OMC $PZZA $ADNT $FIS $TXN $GT $CSCO $PYPL $USB $CAT $AMAT $ADM $MSFT","Options buying recap from Monday 12/31! SR = stock replacement

OI was reviewed to verify the number of contracts added.

$PG $SPOT $TWTR $BAC $AAPL $FB $NVDA $PEP $CAH $DISH $OMC $PZZA $ADNT $FIS $TXN $GT $CSCO $PYPL $USB $CAT $AMAT $ADM $MSFT
1",,,,1,['https://pbs.twimg.com/media/Dv7zWcnWsAAP9ea?format=jpg&name=small'],https://twitter.com/smartmoneyact/status/1080568774946947072
5,TrendSpider,@TrendSpider,2019-01-02T00:59:02.000Z,"Who's ready for the first day of trading into 2019 tomorrow? Happy New Year! 

#trading #stockmarket #stocktrading #ETF #Forex #crypto

$SPY $SPX $QQQ $XBI $FB $AMZN $NFLX $GOOG $GS $BAC $TWTR $SQ $IQ $XLK $CHK $CLF $VIX $BABA $MSFT $MU $PG $DAL $LUV $STUDY","Who's ready for the first day of trading into 2019 tomorrow? Happy New Year! 

#trading #stockmarket #stocktrading #ETF #Forex #crypto

$SPY $SPX $QQQ $XBI $FB $AMZN $NFLX $GOOG $GS $BAC $TWTR $SQ $IQ $XLK $CHK $CLF $VIX $BABA $MSFT $MU $PG $DAL $LUV $STUDY
1
1
9",,1,1,9,[],https://twitter.com/TrendSpider/status/1080267185912729600
6,Jon Andersen,@AndersenBands,2019-01-03T06:27:30.000Z,"Top 5 LT momentum stocks of the Dow 30: $MRK $PG $PFE $MCD $VZ 
Bottom 5: $IBM $XOM $AAPL $UTX $GS  
https://bit.ly/2VkLF3b $DJIA $DIA","Top 5 LT momentum stocks of the Dow 30: $MRK $PG $PFE $MCD $VZ 
Bottom 5: $IBM $XOM $AAPL $UTX $GS  
https://bit.ly/2VkLF3b $DJIA $DIA",,,,,['https://pbs.twimg.com/media/Dv92DVBW0AA-gDC?format=jpg&name=small'],https://twitter.com/AndersenBands/status/1080712237155868672
7,ABK Management LLC,@ABKManagement,2019-01-02T18:52:40.000Z,"2019 Sell-Side Predictions for the S&P 500 

$SPY $MSFT $AAPL $AMZN $BRK $JNJ $JPM $FB $GOOGL $XOM $PFE $UNH $V $VZ $PG $BAC $INTC $CVX $T $MRK $WFC $CSCO $HD $KO $MA $TSLA","2019 Sell-Side Predictions for the S&P 500 

$SPY $MSFT $AAPL $AMZN $BRK $JNJ $JPM $FB $GOOGL $XOM $PFE $UNH $V $VZ $PG $BAC $INTC $CVX $T $MRK $WFC $CSCO $HD $KO $MA $TSLA",,,,,['https://pbs.twimg.com/media/Dv7VqaVU0AATGYY?format=jpg&name=small'],https://twitter.com/ABKManagement/status/1080537375044857857
8,"Raymond-Nature, Animals & Trade Markets",@raymond10mm,2019-01-02T22:35:21.000Z,Rally $GOOGL $FB $JPM $C $BAC $WFC $AAPL $PM $PG $GE $HON $JNJ $CSCO $MSFT $INTC $TWTR $TSLA $V $DIS $UNH $VZ $KHC $SLB $XOM $ES_F $GC_F $NQ_F $CL_F $ZB_F $TLT $MET $PNC $CTL $LMT $WMT $TGT $DLTR $AMZN $AMGN $BMY $IBM $SPX $NASDAQ $DJIA $CAC $DAX $FTSE $BTC $COST,"Rally $GOOGL $FB $JPM $C $BAC $WFC $AAPL $PM $PG $GE $HON $JNJ $CSCO $MSFT $INTC $TWTR $TSLA $V $DIS $UNH $VZ $KHC $SLB $XOM $ES_F $GC_F $NQ_F $CL_F $ZB_F $TLT $MET $PNC $CTL $LMT $WMT $TGT $DLTR $AMZN $AMGN $BMY $IBM $SPX $NASDAQ $DJIA $CAC $DAX $FTSE $BTC $COST
2",📈 📉,,,2,['https://pbs.twimg.com/media/Dv8J-X7W0AA3tQt?format=jpg&name=small'],https://twitter.com/raymond10mm/status/1080593415912468480
9,TheBurdetteLawFirm,@TheBurdetteLawF,2019-01-02T15:55:00.000Z,#estate asset watch - large cap trading (price x volume) today - $AMZN $TSLA $AAPL $NFLX $FB $MSFT $BABA $GOOGL $AMD $NVDA $JPM $GOOG $BAC $V $SQ $BA $PFE $MU $T $CSCO $AVGO $MRK $GE $C $XOM $PYPL $BRK $MA $ABBV $DIS $INTC $JNJ $PG $GS $CRM $ADBE $QCOM $UNH $TMO $WFC $WMT $AMGN,#estate asset watch - large cap trading (price x volume) today - $AMZN $TSLA $AAPL $NFLX $FB $MSFT $BABA $GOOGL $AMD $NVDA $JPM $GOOG $BAC $V $SQ $BA $PFE $MU $T $CSCO $AVGO $MRK $GE $C $XOM $PYPL $BRK $MA $ABBV $DIS $INTC $JNJ $PG $GS $CRM $ADBE $QCOM $UNH $TMO $WFC $WMT $AMGN,,,,,['https://pbs.twimg.com/media/DjnDV2NXoAYn5gw.jpg'],https://twitter.com/TheBurdetteLawF/status/1080492663839703040
10,Jon Andersen,@AndersenBands,2019-01-03T06:17:54.000Z,"Top 5 ST prime yielding dividend Aristocrats momentum: $WMT $APD $ABBV $PG $CVX 
Bottom 5: $JNJ $FRT $ED $CAH $WBA 
https://bit.ly/2Ar88ma","Top 5 ST prime yielding dividend Aristocrats momentum: $WMT $APD $ABBV $PG $CVX 
Bottom 5: $JNJ $FRT $ED $CAH $WBA 
https://bit.ly/2Ar88ma",,,,,['https://pbs.twimg.com/media/Dv9z2v8XQAUNFoS?format=jpg&name=small'],https://twitter.com/AndersenBands/status/1080709822369148928
11,StocksToDiscover,@StockToDiscover,2019-01-03T22:32:15.000Z,getting closer 10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity $smh $spy $spx $AAPL $BAC $PG $YHOO $CHK $WFC $FB $CRM $GE $MRO $NFLX $AMZN $TSLA $SPY $VLO $JBLU $ATVI,getting closer 10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity $smh $spy $spx $AAPL $BAC $PG $YHOO $CHK $WFC $FB $CRM $GE $MRO $NFLX $AMZN $TSLA $SPY $VLO $JBLU $ATVI,,,,,['https://pbs.twimg.com/media/DwBSyowWoAIGy_H?format=jpg&name=small'],https://twitter.com/StockToDiscover/status/1080955022345715712
12,Trade Academy,@TradeAcademyCo,2019-01-03T13:45:07.000Z,1/3 50D MA Watch List: $TECK $SGMO $WYNN $INTC $LNG $BILI $CME $SBUX $MTCH $NKE $OPK $FOXA $GOOG $TXN $AMGN $VOD $FSLR $CX $GOLD $ADI $GOOGL $CRM $DOCU $PG $AMBA #trading,1/3 50D MA Watch List: $TECK $SGMO $WYNN $INTC $LNG $BILI $CME $SBUX $MTCH $NKE $OPK $FOXA $GOOG $TXN $AMGN $VOD $FSLR $CX $GOLD $ADI $GOOGL $CRM $DOCU $PG $AMBA #trading,,,,,[],https://twitter.com/TradeAcademyCo/status/1080822366144479234
13,The Trading Analyst,@Trading_Analyst,2019-01-03T23:41:47.000Z,[VIDEO] Learn The Proven Strategy I Used To Profit On $AVGO $WYNN $FB $ADBE $WYNN $PG $STUDY - click link >> https://thetradinganalyst.com/how-to-profit-from-a-stock-market-crash-using-options-by-the/…,[VIDEO] Learn The Proven Strategy I Used To Profit On $AVGO $WYNN $FB $ADBE $WYNN $PG $STUDY - click link >> https://thetradinganalyst.com/how-to-profit-from-a-stock-market-crash-using-options-by-the/…,,,,,['https://pbs.twimg.com/media/DwBixvLUcAA459X?format=jpg&name=small'],https://twitter.com/Trading_Analyst/status/1080972520470253569
