,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,GNWLive,@GNWLive,2018-01-03T14:38:21.000Z,Annual General Meeting of RTX to be held on 25 January 2018  $RTX http://bit.ly/2ChQtfE,Annual General Meeting of RTX to be held on 25 January 2018  $RTX http://bit.ly/2ChQtfE,,,,,[],https://twitter.com/GNWLive/status/948564193661333506
1,GNWLive,@GNWLive,2018-01-04T09:04:10.000Z,Share repurchase programme $RTX http://bit.ly/2CDrMOf,Share repurchase programme $RTX http://bit.ly/2CDrMOf,,,,,[],https://twitter.com/GNWLive/status/948842481277337606
2,GNWLive,@GNWLive,2018-01-25T15:53:33.000Z,Annual General Meeting of RTX A/S $RTX http://bit.ly/2DLQJYo,Annual General Meeting of RTX A/S $RTX http://bit.ly/2DLQJYo,,,,,[],https://twitter.com/GNWLive/status/956555647851597826
3,GNWLive,@GNWLive,2018-01-31T14:28:57.000Z,Extraordinary General Meeting of RTX to be held on 27 February 2018 $RTX http://bit.ly/2rVAdjF,Extraordinary General Meeting of RTX to be held on 27 February 2018 $RTX http://bit.ly/2rVAdjF,,,,,[],https://twitter.com/GNWLive/status/958708687958368256
4,GNWLive,@GNWLive,2018-02-28T08:12:33.000Z,Progress of Extraordinary General Meeting of RTX A/S  $RTX http://bit.ly/2GPdRD3,Progress of Extraordinary General Meeting of RTX A/S  $RTX http://bit.ly/2GPdRD3,,,,,[],https://twitter.com/GNWLive/status/968760820715937792
5,HotHardware,@HotHardware,2018-03-27T22:32:25.000Z,"#NVIDIA Announces #Quadro GV100 Volta-Powered Graphics With $RTX Real-Time #RayTracing Wizardry (Updated) http://po.st/7vvSAo via 
@HotHardware
 #GTC2018","#NVIDIA Announces #Quadro GV100 Volta-Powered Graphics With $RTX Real-Time #RayTracing Wizardry (Updated) http://po.st/7vvSAo via 
@HotHardware
 #GTC2018
2
3",,,2,3,[],https://twitter.com/HotHardware/status/978761686218764288
6,GNWLive,@GNWLive,2018-04-04T13:58:20.000Z,Major shareholder announcement  $RTX http://bit.ly/2uRdl6i,Major shareholder announcement  $RTX http://bit.ly/2uRdl6i,,,,,[],https://twitter.com/GNWLive/status/981531418542182400
7,GNWLive,@GNWLive,2018-04-04T11:53:47.000Z,Completion of the share capital reduction in RTX A/S $RTX http://bit.ly/2IsWmta,Completion of the share capital reduction in RTX A/S $RTX http://bit.ly/2IsWmta,,,,,[],https://twitter.com/GNWLive/status/981500072717377537
8,Paul,@paulkevinhynan,2018-07-20T16:22:17.000Z,https://belacam.com/ref/8i43l5  sign up and start earning money straight away....your welcome $btc $xlm $kin $dcn $lun $etn $ven $ont $rtx $xrp,"https://belacam.com/ref/8i43l5  sign up and start earning money straight away....your welcome $btc $xlm $kin $dcn $lun $etn $ven $ont $rtx $xrp
belacam.com
Belacam - Earn Crypto Through Social Media
Belacam is a social media site where people earn money online in a fun, social setting.",,,,,[],https://twitter.com/paulkevinhynan/status/1020343143420637185
9,ResearchPool,@ResearchPool,2018-09-04T14:53:07.000Z,$RTX #RTX A/S 1 director bought: A director at Rtx Telecom bought 750 shares at 182.170DKK and the significance rating of the trade was 52/100. Is that information sufficient for you to make an investment decision? This report gives details of those… http://dlvr.it/Qj5Bdc,$RTX #RTX A/S 1 director bought: A director at Rtx Telecom bought 750 shares at 182.170DKK and the significance rating of the trade was 52/100. Is that information sufficient for you to make an investment decision? This report gives details of those… http://dlvr.it/Qj5Bdc,,,,,[],https://twitter.com/ResearchPool/status/1036990547020328960
10,GNWLive,@GNWLive,2018-09-24T11:09:45.000Z,Financial calendar 2018/19 for RTX A/S - CORRECTED $RTX http://bit.ly/2MY930P,Financial calendar 2018/19 for RTX A/S - CORRECTED $RTX http://bit.ly/2MY930P,,,,,[],https://twitter.com/GNWLive/status/1044182091959848960
11,GNWLive,@GNWLive,2018-09-24T11:29:49.000Z,CFO Kristian Frederiksen resigns from RTX A/S $RTX http://bit.ly/2MX0iUT,CFO Kristian Frederiksen resigns from RTX A/S $RTX http://bit.ly/2MX0iUT,,,,,[],https://twitter.com/GNWLive/status/1044187143332081664
12,GNWLive,@GNWLive,2018-10-23T11:19:25.000Z,Adjustment and specification of expectations for 2017-18 $RTX http://bit.ly/2ytyIds,Adjustment and specification of expectations for 2017-18 $RTX http://bit.ly/2ytyIds,,,,,[],https://twitter.com/GNWLive/status/1054693771860938752
13,GNWLive,@GNWLive,2018-11-27T11:21:22.000Z,Annual Report 2017/18 $RTX http://bit.ly/2FEmwMW,Annual Report 2017/18 $RTX http://bit.ly/2FEmwMW,,,,,[],https://twitter.com/GNWLive/status/1067377837936648192
14,GNWLive,@GNWLive,2018-11-28T14:00:11.000Z,Inclusion of items in the agenda for RTX’s Annual General Meeting $RTX http://bit.ly/2FL2Wi5,Inclusion of items in the agenda for RTX’s Annual General Meeting $RTX http://bit.ly/2FL2Wi5,,,,,[],https://twitter.com/GNWLive/status/1067780196068139010
