,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Gary Reiner,@ELPfan,2020-01-01T01:04:26.000Z,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA","Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA
seekingalpha.com
Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom (NASDAQ:AAPL)
Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) finished as the year's top gainers on the Dow Jones Industrial Average, as 27 of the 30 stocks in the index ended in the green vs.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/ELPfan/status/1212177729572888576
1,Options Locator,@OptionsLocator,2020-01-03T19:03:50.000Z,"Currently Forming An Inside Day:

$AAPL
$AMZN
$BIDU
$CRM
$DIS
$FDX
$GE
$GS
$HSY
$HUYA
$MCD
$MO
$MRK
$MTCH
$NFLX
$OLED
$OSTK (dbl)
$PAAS
$RDFN
$SBUX
$SHAK
$TEAM
$TRV
$WW
$XLNX
$XLU
$ZAYO

Will update at the close!","Currently Forming An Inside Day:

$AAPL
$AMZN
$BIDU
$CRM
$DIS
$FDX
$GE
$GS
$HSY
$HUYA
$MCD
$MO
$MRK
$MTCH
$NFLX
$OLED
$OSTK (dbl)
$PAAS
$RDFN
$SBUX
$SHAK
$TEAM
$TRV
$WW
$XLNX
$XLU
$ZAYO

Will update at the close!
1
6",,,1,6,[],https://twitter.com/OptionsLocator/status/1213174143312637953
2,Finscreener,@Finscreener_com,2020-01-02T21:49:59.000Z,"$DJI #DOW30 #Stocks with the lowest Price Range Ratio: $BA $XOM $WBA $MMM $CSCO $PFE $TRV $MCD $IBM $DOW
https://finscreener.com/screener/price-range-ratio/stocks/dj30…","$DJI #DOW30 #Stocks with the lowest Price Range Ratio: $BA $XOM $WBA $MMM $CSCO $PFE $TRV $MCD $IBM $DOW
https://finscreener.com/screener/price-range-ratio/stocks/dj30…",,,,,['https://pbs.twimg.com/media/ENTr5GhXUAQAmDF?format=jpg&name=large'],https://twitter.com/Finscreener_com/status/1212853570384601095
3,Tickeron,@Tickeron,2020-01-02T11:37:11.000Z,$TRV in Downtrend: Stochastic indicator peaks and leaves overbought zone. View odds for this and other indicators: https://tickeron.com/go/1077857 #TravelersCompanies #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today,$TRV in Downtrend: Stochastic indicator peaks and leaves overbought zone. View odds for this and other indicators: https://tickeron.com/go/1077857 #TravelersCompanies #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today,,,,,['https://pbs.twimg.com/media/ENRfor8UEAUqMjq?format=jpg&name=small'],https://twitter.com/Tickeron/status/1212699354613465088
4,Tickeron,@Tickeron,2020-01-03T13:02:51.000Z,"$TRV enters an Uptrend as Momentum Indicator exceeded the 0 level on December 16, 2019. View odds for this and other indicators: https://tickeron.com/go/1080107 #TravelersCompanies #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today","$TRV enters an Uptrend as Momentum Indicator exceeded the 0 level on December 16, 2019. View odds for this and other indicators: https://tickeron.com/go/1080107 #TravelersCompanies #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today",,,,,['https://pbs.twimg.com/media/ENW81QPVAAMfMXR?format=jpg&name=small'],https://twitter.com/Tickeron/status/1213083299851034624
5,STCK.PRO,@StckPro,2020-01-02T14:37:11.000Z,$TRV NEW ARTICLE : Does Travelers’ Stock Have Growth Potential Despite Its Q3 Earnings Miss? https://dashboard.stck.pro/news.php?ticker=TRV&rowid=3134577… Get all the latest $TRV related news here : https://dashboard.stck.pro/news.php?ticker=TRV…,$TRV NEW ARTICLE : Does Travelers’ Stock Have Growth Potential Despite Its Q3 Earnings Miss? https://dashboard.stck.pro/news.php?ticker=TRV&rowid=3134577… Get all the latest $TRV related news here : https://dashboard.stck.pro/news.php?ticker=TRV…,,,,,['https://pbs.twimg.com/media/ENSI1dLWwAA4SqT?format=jpg&name=small'],https://twitter.com/StckPro/status/1212744653725937664
6,Stock Advicebot 2000,@StockTipRobot,2020-01-01T21:13:24.000Z,Math clearly indicates that you should sell The Travelers Companies $TRV #BullMarket,Math clearly indicates that you should sell The Travelers Companies $TRV #BullMarket,,,,,[],https://twitter.com/StockTipRobot/status/1212481974813810688
7,AIStocksPredictions,@AIStocksPredict,2020-01-03T18:16:25.000Z," Buy (33%) for $TIF
 Buy (33%) for $LMT
 Strong Buy (89%) for $TRV
 Strong Buy (89%) for $SPGI
 Strong Buy (56%) for $ISRG"," Buy (33%) for $TIF
 Buy (33%) for $LMT
 Strong Buy (89%) for $TRV
 Strong Buy (89%) for $SPGI
 Strong Buy (56%) for $ISRG",⬆ ⬆ ⬆ ⬆ ⬆ ⬆ ⬆ ⬆,,,,[],https://twitter.com/AIStocksPredict/status/1213162213319610370
8,AIStocksPredictions,@AIStocksPredict,2020-01-01T16:49:10.000Z," Strong Buy (56%) for $ANSS
 Strong Buy (89%) for $SEE
 Strong Buy (67%) for $TRV
 Buy (44%) for $SYK
 Strong Buy (89%) for $AMT"," Strong Buy (56%) for $ANSS
 Strong Buy (89%) for $SEE
 Strong Buy (67%) for $TRV
 Buy (44%) for $SYK
 Strong Buy (89%) for $AMT",⬆ ⬆ ⬆ ⬆ ⬆ ⬆ ⬆ ⬆ ⬆,,,,[],https://twitter.com/AIStocksPredict/status/1212415477714227202
9,sleekOptions,@sleekoptions,2020-01-03T03:11:19.000Z,"$TRV stock trading volume up by +124.94% | 1,117,296 vs 496,708 

 https://sleekoptions.com/sleekscan.aspx?did=TRV…","$TRV stock trading volume up by +124.94% | 1,117,296 vs 496,708 

 https://sleekoptions.com/sleekscan.aspx?did=TRV…",,,,,[],https://twitter.com/sleekoptions/status/1212934436175659008
