,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Surfergirl,@Terri1618,2020-01-03T09:08:31.000Z,"$SPY $QQQ $VXX update. New yr stock rotation triggered. Osc overbought again. See how price reacts2 res/sup areas. Patience4 high probability setups

F: ISM mfg,Fed min
1/6: PMI svcs
1/7-10: CES
1/10: Jobs
1/13-16: H/C conf
1/14-16: EU/US trade mtg
1/14: $JPM $C
1/15: $UNH $BAC","$SPY $QQQ $VXX update. New yr stock rotation triggered. Osc overbought again. See how price reacts2 res/sup areas. Patience4 high probability setups

F: ISM mfg,Fed min
1/6: PMI svcs
1/7-10: CES
1/10: Jobs
1/13-16: H/C conf
1/14-16: EU/US trade mtg
1/14: $JPM $C
1/15: $UNH $BAC
1
8
17",,1,8,17,"['https://pbs.twimg.com/media/ENWHK5TUEAAW4w3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENWHLSuVUAAJudd?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENWHK5SUEAAPRpS?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENWHLMMU0AAQ_5V?format=jpg&name=360x360']",https://twitter.com/Terri1618/status/1213024330377912320
1,Stephen Guilfoyle,@Sarge986,2020-01-02T13:08:59.000Z,"My Pick for 2020? You Won't Believe It's Been on Your Screen All Along $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney","My Pick for 2020? You Won't Believe It's Been on Your Screen All Along $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney
realmoney.thestreet.com
My Pick for 2020? You Won't Believe It's Been on Your Screen All Along
This company made headlines in 2019, and I'm betting on it as a great play -- in many senses of the word -- for this new year.
1
4
5",,1,4,5,['https://pbs.twimg.com/card_img/1501932152459444231/WnnnhgOR?format=png&name=small'],https://twitter.com/Sarge986/status/1212722455229468672
2,Jeff Wilkins MD,@tbrilw,2020-01-02T01:32:22.000Z,"Expected quality benefit from hospital M&A not there - study https://seekingalpha.com/news/3529028?source=ansh… $XLV, $HUM, $UHS, $THC, $HCA, $CYH, $UNH, $WCG, $MOH, $CI, $CNC, $ANTM, $CVS","Expected quality benefit from hospital M&A not there - study https://seekingalpha.com/news/3529028?source=ansh… $XLV, $HUM, $UHS, $THC, $HCA, $CYH, $UNH, $WCG, $MOH, $CI, $CNC, $ANTM, $CVS
1",,,1,,[],https://twitter.com/tbrilw/status/1212547145070469120
3,Gary Reiner,@ELPfan,2020-01-01T01:04:26.000Z,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA","Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA
seekingalpha.com
Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom (NASDAQ:AAPL)
Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) finished as the year's top gainers on the Dow Jones Industrial Average, as 27 of the 30 stocks in the index ended in the green vs.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/ELPfan/status/1212177729572888576
4,Laurie,@LaurieInMadison,2020-01-02T14:16:39.000Z,"It's here! Stephen Guilfoyle's annual stock pick of the year 2020. What'll he go with? #GUILFOLIO 
@Sarge986
 ""Excel in the environment provided"" #FOMC $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney","It's here! Stephen Guilfoyle's annual stock pick of the year 2020. What'll he go with? #GUILFOLIO 
@Sarge986
 ""Excel in the environment provided"" #FOMC $LRCX $KLAC $ZUO $ADBE $MSFT $C $JPM $MA $ABBV $AMGN $MRK $CVS $UNH $BP $RDS.A $VIAC $AAPL https://realmoney.thestreet.com/investing/stocks/my-pick-for-2020-you-won-t-believe-it-s-been-on-your-screen-all-along-15198004… via 
@RealMoney
realmoney.thestreet.com
My Pick for 2020? You Won't Believe It's Been on Your Screen All Along
This company made headlines in 2019, and I'm betting on it as a great play -- in many senses of the word -- for this new year.
1
2",,,1,2,['https://pbs.twimg.com/card_img/1501932152459444231/WnnnhgOR?format=png&name=small'],https://twitter.com/LaurieInMadison/status/1212739483310968833
5,Finscreener,@Finscreener_com,2020-01-03T17:47:08.000Z,"TOP $SPX #SP500 #stocks with the highest 3Y Dividend Growth: $ZION $BLK $EXPE $BAC $CDW $UNH $MSCI $WBA $BA $NTAP
https://finscreener.com/screener/best-dividend-stocks/sp500?&o=1011…","TOP $SPX #SP500 #stocks with the highest 3Y Dividend Growth: $ZION $BLK $EXPE $BAC $CDW $UNH $MSCI $WBA $BA $NTAP
https://finscreener.com/screener/best-dividend-stocks/sp500?&o=1011…",,,,,['https://pbs.twimg.com/media/ENX95QwXsAIsKqJ?format=jpg&name=medium'],https://twitter.com/Finscreener_com/status/1213154840978825216
6,TA Trades,@TATrades,2020-01-01T23:08:39.000Z,"Charts and coffee tonight! Probably around 10pm or 11pm EST. I will be sharing my notes/watchlist on 
@TAtradesPrivate
 and a few charts on here. 

$spy $fb $amzn $aapl $nvda $nflx $goog $roku $ttd $tsla $unh $shop $dis $nio $cost $cmg $ba $baba $mcd $btc $lk $pton $sq $jpm $amd $i","Charts and coffee tonight! Probably around 10pm or 11pm EST. I will be sharing my notes/watchlist on 
@TAtradesPrivate
 and a few charts on here. 

$spy $fb $amzn $aapl $nvda $nflx $goog $roku $ttd $tsla $unh $shop $dis $nio $cost $cmg $ba $baba $mcd $btc $lk $pton $sq $jpm $amd $i
1",,,1,,[],https://twitter.com/TATrades/status/1212510981085159424
7,TK ॐ,@TraderKarthik,2020-01-01T22:48:52.000Z,"$UNH Earnings on 1/15

Now that's some thin volume these past 2 weeks

I wouldn't expect any big moves on this earnings but I think anything is fair game after - Healthcare been a huge topic lately

Imo sell puts for this earnings","$UNH Earnings on 1/15

Now that's some thin volume these past 2 weeks

I wouldn't expect any big moves on this earnings but I think anything is fair game after - Healthcare been a huge topic lately

Imo sell puts for this earnings
1",,1,,,['https://pbs.twimg.com/media/ENOvxtoXsAEqpNa?format=png&name=900x900'],https://twitter.com/TraderKarthik/status/1212505999225040896
8,Profectus Systems,@ProfectuSystems,2020-01-03T11:17:09.000Z,QuantAlphaMR trading system https://profectussystems.autotradenow.com/details/68456563… #quant #alpha #trading $BAX $UNH $MSFT $TXN $AMAT,"QuantAlphaMR trading system https://profectussystems.autotradenow.com/details/68456563… #quant #alpha #trading $BAX $UNH $MSFT $TXN $AMAT
profectussystems.autotradenow.com
QuantAlphaMR - trading strategy
Trade automatically at your broker
1",,,,1,['https://pbs.twimg.com/card_img/1500455240771928066/HGD6ESG9?format=jpg&name=small'],https://twitter.com/ProfectuSystems/status/1213056702158901249
9,AIStocksPredictions,@AIStocksPredict,2020-01-01T19:48:45.000Z," Strong Buy (89%) for $CERN
 Strong Buy (78%) for $BDX
 Strong Buy (78%) for $UNH
 Strong Sell (-67%) for $CBS
 Strong Buy (56%) for $TROW"," Strong Buy (89%) for $CERN
 Strong Buy (78%) for $BDX
 Strong Buy (78%) for $UNH
 Strong Sell (-67%) for $CBS
 Strong Buy (56%) for $TROW
1
1",⬆ ⬆ ⬆ ⬆ ⬆ ⬆ ⬇ ⬇ ⬆ ⬆,,1,1,[],https://twitter.com/AIStocksPredict/status/1212460671226523650
10,Jerod,@jerodjones,2020-01-01T09:12:01.000Z,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA","Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA
seekingalpha.com
Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom (NASDAQ:AAPL)
Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) finished as the year's top gainers on the Dow Jones Industrial Average, as 27 of the 30 stocks in the index ended in the green vs.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/jerodjones/status/1212300431684014081
11,Dávid Daubner,@DavidDaubner,2020-01-03T18:00:57.000Z,"TOP $SPX #SP500 #stocks with the highest 3Y Dividend Growth: $ZION $BLK $EXPE $BAC $CDW $UNH $MSCI $WBA $BA $NTAP
https://finscreener.com/screener/best-dividend-stocks/sp500?&o=1011…","TOP $SPX #SP500 #stocks with the highest 3Y Dividend Growth: $ZION $BLK $EXPE $BAC $CDW $UNH $MSCI $WBA $BA $NTAP
https://finscreener.com/screener/best-dividend-stocks/sp500?&o=1011…",,,,,['https://pbs.twimg.com/media/ENYBDtlXkAAVMMd?format=jpg&name=medium'],https://twitter.com/DavidDaubner/status/1213158320007192576
12,FancySlothBTC,@FancySlothBTC,2020-01-02T20:21:32.000Z,I will be posting my trades in real time here just know my strategy is high risk high reward  its not uncommon for 1000% gains on a single day trade give me a follow and see for yourself $fb $baba $shop $amzn $snap $roku $tsla $nio $cron $unh $nflx $aapl,"I will be posting my trades in real time here just know my strategy is high risk high reward  its not uncommon for 1000% gains on a single day trade give me a follow and see for yourself $fb $baba $shop $amzn $snap $roku $tsla $nio $cron $unh $nflx $aapl
4",,,,4,[],https://twitter.com/FancySlothBTC/status/1212831309967450112
