,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,West Bromwich Albion,@WBA,2020-01-02T13:31:00.000Z,"#SuperSlav loves a tackle.

#WBA","#SuperSlav loves a tackle.

#WBA
0:08
30.9K views
15
88
742",,15,88,742,[],https://twitter.com/WBA/status/1212727995984535552
1,West Bromwich Albion,@WBA,2020-01-02T19:30:00.000Z,"The Smethwick End in full voice 

#WBA","The Smethwick End in full voice 

#WBA
15
138
665",💙,15,138,665,['https://pbs.twimg.com/media/ENR8cu0WsAEBVH-.jpg'],https://twitter.com/WBA/status/1212818341313884166
2,West Bromwich Albion,@WBA,2020-01-01T20:06:51.000Z,"Great atmosphere inside The Hawthorns tonight. Thank you for your support, Baggies ","Great atmosphere inside The Hawthorns tonight. Thank you for your support, Baggies 
11
25
589",,11,25,589,['https://pbs.twimg.com/media/ENOKeUoXUAALoHc.jpg'],https://twitter.com/WBA/status/1212465227599687681
3,Matheus Pereira,@MatheusPereira,2020-01-01T11:07:18.000Z,"Come on Baggies!
God bless us  
@wba","Come on Baggies!
God bless us  
@wba
22
41
955",💙 🚀 ⚽,22,41,955,['https://pbs.twimg.com/media/ENMPMK1XkAAM0H8?format=jpg&name=small'],https://twitter.com/MatheusPereira/status/1212329445341704198
4,Jon Stanaway,@stanaway_jon,2020-01-01T23:07:26.000Z,"Operation 
@WBA
 man cave in full swing... What you think? 
@Gemmabaggies
 @GemmaColledge
 @KitmanPat
 @RomaineSawyers
 @chazaustin10
 @KyleEdwardo 
@RobPaddockWBA
 @sarah_WBAx
 @nick_wba_khfc 
@JuniorBaggies","Operation 
@WBA
 man cave in full swing... What you think? 
@Gemmabaggies
 @GemmaColledge
 @KitmanPat
 @RomaineSawyers
 @chazaustin10
 @KyleEdwardo 
@RobPaddockWBA
 @sarah_WBAx
 @nick_wba_khfc 
@JuniorBaggies
3
23",,3,,23,"['https://pbs.twimg.com/media/ENOz_taUEAAhKg8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENO0ALiW4AEtHSr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENO0A67WsAEGrJr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ENO0Be-U0AEdokp?format=jpg&name=360x360']",https://twitter.com/stanaway_jon/status/1212510673315479554
5,Fill The Valley,@take_over_party,2020-01-02T15:09:51.000Z,"Let’s fill The Valley for our next home league game against 
@WBA
 in support of @MattSouthall84 and our new owners.

A sell out crowd would be the best way to toast the beginning of a new era #cafc 

 11th January 2020
The Valley
 https://booking.cafc.co.uk/en-GB/events/charlton%20athletic%20v%20west%20bromwich%20albion/2020-1-11_15.00/the%20valley?hallmap… ","Let’s fill The Valley for our next home league game against 
@WBA
 in support of @MattSouthall84 and our new owners.

A sell out crowd would be the best way to toast the beginning of a new era #cafc 

 11th January 2020
The Valley
 https://booking.cafc.co.uk/en-GB/events/charlton%20athletic%20v%20west%20bromwich%20albion/2020-1-11_15.00/the%20valley?hallmap… 
Fill The Valley
@take_over_party
 · 29 Dec 2017
Once a takeover has been confirmed, a new beginning will commence.

Fans must be returned to the heart of #cafc & help rebuild our great, historic club.

Let’s work to begin the new era with a capacity crowd, in the game following the sale, celebrating we’ve got our #cafc back.
Show this thread
3
40
124",📆 📍 🎫 🍾,3,40,124,"['https://pbs.twimg.com/profile_images/946797346842701824/UVgBraC1_mini.jpg', 'https://pbs.twimg.com/media/DSO1GO-W4AM06rS?format=jpg&name=small', 'https://pbs.twimg.com/media/DSO1GPCXUAAPIgQ?format=jpg&name=small']",https://twitter.com/take_over_party/status/1212752871428632576
6,Quest,@QuestTV,2020-01-01T21:25:01.000Z,"Bilic, Bielsa bromance 
@WBA
 and 
@LUFC
 remain  points clear at the top of the 
@SkyBetChamp
 

#EFLonQuest | #WBA | #LUFC","Bilic, Bielsa bromance 
@WBA
 and 
@LUFC
 remain  points clear at the top of the 
@SkyBetChamp
 

#EFLonQuest | #WBA | #LUFC
0:54
10.6K views
3
15
66",💕,3,15,66,['https://pbs.twimg.com/amplify_video_thumb/1212482163209310210/img/UkU5PZDD8YWP2-MV.jpg'],https://twitter.com/QuestTV/status/1212484897945931779
7,Middlesbrough FC,@Boro,2020-01-03T16:00:22.000Z,"#Boro and Jonathan Woodgate have been awarded the LMA - LG Performance of the Week award for the victory over 
@WBA
  #UTB","#Boro and Jonathan Woodgate have been awarded the LMA - LG Performance of the Week award for the victory over 
@WBA
  #UTB
mfc.co.uk
Boro Win LMA - LG Performance Of The Week Award | Middlesbrough FC
Boro won the LMA - LG Performance of the Week award for the 2-0 win at West Bromwich Albion on Sunday. The League Managers Association’s panel, comprising LMA Chairman Howard Wilkinson, Sir Alex...
8
26
362",👏 🏆,8,26,362,['https://pbs.twimg.com/card_img/1499868159532228611/pm2HoFOg?format=jpg&name=small'],https://twitter.com/Boro/status/1213127973634793472
8,Dave Miles,@davemiles93,2020-01-03T16:47:19.000Z,"Replying to 
@WBA","Replying to 
@WBA
Need my address for the prize?
3",,,,3,['https://pbs.twimg.com/media/ENXwM_oWkAEAXJP?format=jpg&name=900x900'],https://twitter.com/davemiles93/status/1213139788565549057
9,West Bromwich Albion,@WBA,2020-01-03T13:01:21.000Z,"“We have to strike a balance between changes and respecting the competition. Everybody is looking forward to it.""

Slaven talks team selection ahead of Sunday's 
@EmiratesFACup
  clash at Charlton... 

#WBA","“We have to strike a balance between changes and respecting the competition. Everybody is looking forward to it.""

Slaven talks team selection ahead of Sunday's 
@EmiratesFACup
  clash at Charlton... 

#WBA
wba.co.uk
Slav plans changes for Charlton cup trip
Slaven Bilić is calculating a balance between rest and respect as Albion’s FA Cup campaign opens at Charlton on Sunday.
10
11
162",🏆 💬,10,11,162,[],https://twitter.com/WBA/status/1213082922342895618
10,West Bromwich Albion,@WBA,2020-01-02T12:02:47.000Z,"“We’ve still been picking up points but performances haven’t been where they were before. We know that in the dressing room. Against Leeds we were a lot better.""
@conortownsend93
 assesses our opening game of 2020... 

#WBA","“We’ve still been picking up points but performances haven’t been where they were before. We know that in the dressing room. Against Leeds we were a lot better.""
@conortownsend93
 assesses our opening game of 2020... 

#WBA
wba.co.uk
‘We were a lot better’ - Townsend
Conor Townsend believes Albion were back to their best in the 1-1 draw against Leeds United at The Hawthorns on New Year’s Day.
7
5
175",💬,7,5,175,['https://pbs.twimg.com/card_img/1496207389430882308/noc2x_Oh?format=jpg&name=small'],https://twitter.com/WBA/status/1212705795156172800
11,Preet Kaur Gill MP,@PreetKGillMP,2020-01-01T18:49:28.000Z,"New Year’s Day watching 
@WBA
 v 
@LUFC
 great atmosphere at the Hawthorns. #NewYearsDay","New Year’s Day watching 
@WBA
 v 
@LUFC
 great atmosphere at the Hawthorns. #NewYearsDay
3
2
27",,3,2,27,['https://pbs.twimg.com/media/ENN492WWkAgfCqM?format=jpg&name=small'],https://twitter.com/PreetKGillMP/status/1212445754733842433
