,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Ecex.Exchange — World's Digital Assets Depository,@EcexExchange,2018-01-03T14:26:41.000Z,Pay by mobile. You can get Ziggurat cryptocurrency. Win-win  http://SMS.ECEX.EXCHANGE  $AMZN $EBAY $MELI $ETSY $QVCA $BABA $WMT $COST $TGT $KR $JPM $FB $WFC $GOOG $SNAP $TWTR   $agn $aapl $brk $crm $cmg $dis $f $fred $iep $ibm  $EUO $VUZI $LABU $ENTA $MTZ $BIOL $ANSS $SCHE,"Pay by mobile. You can get Ziggurat cryptocurrency. Win-win  http://SMS.ECEX.EXCHANGE  $AMZN $EBAY $MELI $ETSY $QVCA $BABA $WMT $COST $TGT $KR $JPM $FB $WFC $GOOG $SNAP $TWTR   $agn $aapl $brk $crm $cmg $dis $f $fred $iep $ibm  $EUO $VUZI $LABU $ENTA $MTZ $BIOL $ANSS $SCHE
20
25",🚀 🚀,,20,25,['https://pbs.twimg.com/media/DSn3a1mWkAAI5s3?format=jpg&name=small'],https://twitter.com/EcexExchange/status/948561254792142848
1,"David Settle, CMT",@davidsettle42,2018-01-02T15:51:35.000Z,Amazon and Target could join forces and crush Walmart $AMZN $TGT $WMT http://read.bi/2A86TW1 via @BI_RetailNews,"Amazon and Target could join forces and crush Walmart $AMZN $TGT $WMT http://read.bi/2A86TW1 via @BI_RetailNews
businessinsider.com
Amazon and Target could join forces and crush Walmart
Target would be a powerful tool for Amazon in its quest to get moms hooked on its Prime services, says the Loup Ventures analyst Gene Munster.
3
5
15",,3,5,15,['https://pbs.twimg.com/card_img/1500404432827256833/itEVE4YG?format=jpg&name=small'],https://twitter.com/davidsettle42/status/948220235470868480
2,David Moadel,@davidmoadel,2018-01-02T17:01:20.000Z,$WMT A tsunami of store closings is about to hit the US — and it's expected to eclipse the retail carnage of 2017 http://businessinsider.com/store-closures-in-2018-will-eclipse-2017-2018-1… $TGT $AMZN $SPY $QQQ $DIA $DJIA $IWM $TLT $EEM #stockmarket #stocks #investing #finance,"$WMT A tsunami of store closings is about to hit the US — and it's expected to eclipse the retail carnage of 2017 http://businessinsider.com/store-closures-in-2018-will-eclipse-2017-2018-1… $TGT $AMZN $SPY $QQQ $DIA $DJIA $IWM $TLT $EEM #stockmarket #stocks #investing #finance
2",,,,2,[],https://twitter.com/davidmoadel/status/948237788729827328
3,Seeking Alpha,@SeekingAlpha,2018-01-03T18:19:05.000Z,$AAPL #APPLE $GOOG $GOOGL $TGT $WMT $AMZN https://seekingalpha.com/article/4135086-amazon-buying-target?source=feed_f…,$AAPL #APPLE $GOOG $GOOGL $TGT $WMT $AMZN https://seekingalpha.com/article/4135086-amazon-buying-target?source=feed_f…,,,,,[],https://twitter.com/SeekingAlpha/status/948619742528487424
4,J.C. Parets,@allstarcharts,2018-01-01T22:48:45.000Z,"What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57","What this list means to me http://allstarcharts.com/weve-going/ $JPM $102, $GS $250, $AXP $95, $TRV $129 $CSCO $37, $AAPL $162, $MSFT $83. $MCD 163, $HD 185, $CVX $119, $XOM $80, $BA $251, $CAT $145, $MMM $229, $UTX $124, $KO $44.50, $DWDP $67, $WMT 91, $JNJ $136, $CHRW, $CSX $48, $EXPD $57
allstarcharts.com
Where We've Been And Where We're Going - All Star Charts -
It’s hard not to reflect on the past 12 months as we celebrate the New Year with our friends and family. For me it’s both a blessing and a curse. While it’s exciting to begin 2018 on a fresh note, I...
1
9
35",,1,9,35,['https://pbs.twimg.com/card_img/1501452788353617920/pBFIElCA?format=jpg&name=240x240'],https://twitter.com/allstarcharts/status/947962830191337472
5,Stephen Guilfoyle,@Sarge986,2018-01-03T12:44:41.000Z,The January Effect Could Push Up Some Stock Prices: Market Recon $GE $VZ $CMG $AMZN $TGT $KSS $WMT $XRT $CMC $NEOG $UNF $RAD https://realmoney.thestreet.com/articles/01/03/2018/january-effect-could-push-some-stock-prices-market-recon…,"The January Effect Could Push Up Some Stock Prices: Market Recon $GE $VZ $CMG $AMZN $TGT $KSS $WMT $XRT $CMC $NEOG $UNF $RAD https://realmoney.thestreet.com/articles/01/03/2018/january-effect-could-push-some-stock-prices-market-recon…
3",,,,3,[],https://twitter.com/Sarge986/status/948535585286836224
6,Jeffrey Dorfman,@DorfmanJeffrey,2018-01-03T14:18:29.000Z,"Food Retailing Is Preparing For Another Tech Revolution via 
@forbes
 https://forbes.com/sites/jeffreydorfman/2018/01/03/food-retailing-is-preparing-for-another-tech-revolution/#70529fcd7840… #food #retail $AMZN $KR $WMT","Food Retailing Is Preparing For Another Tech Revolution via 
@forbes
 https://forbes.com/sites/jeffreydorfman/2018/01/03/food-retailing-is-preparing-for-another-tech-revolution/#70529fcd7840… #food #retail $AMZN $KR $WMT
forbes.com
Food Retailing Is Preparing For Another Tech Revolution
The list of failed online grocery startups is long, but now food retail industry leaders are leading a second wave tech revolution that will transform the food retailing sector.
1",,,,1,['https://pbs.twimg.com/card_img/1499579042751823872/L1SbR2oc?format=png&name=small'],https://twitter.com/DorfmanJeffrey/status/948559192935272448
7,Surge Traders,@SurgeTraders,2018-01-02T19:14:10.000Z,+$1600 on current swing trades today. Makes up for sideways portfolio last week $CAVM $COST $DG $DIS $MMM $SPLK $WMT,"+$1600 on current swing trades today. Makes up for sideways portfolio last week $CAVM $COST $DG $DIS $MMM $SPLK $WMT
1",,,,1,['https://pbs.twimg.com/media/DSjvpQ0V4AAU5DG?format=jpg&name=900x900'],https://twitter.com/SurgeTraders/status/948271216292515842
8,Drugdoctor1,@Drugdoctor2014,2018-01-02T16:51:59.000Z,"$ARLZ -$1.47- Jan effect Nasdaq Drug Stock! OVERSOLD- $150 million revs projected 2018 with profits! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG 
$DIS  $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA $BRCD $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH","$ARLZ -$1.47- Jan effect Nasdaq Drug Stock! OVERSOLD- $150 million revs projected 2018 with profits! $AMZN $TSLA $WMT $TGT $NVDA $SPY $GLD $EBAY $AAPL $FB $TWTR $GS $S $GOOG 
$DIS  $IBM $MSFT $BIDU $VZ $ADBE $AMAT $ADSK $AVGO $BABA $BRCD $CDNS $CAVM $CERN $CHKP $CSCO $CTXS $CTSH
1",,,,1,['https://pbs.twimg.com/media/DSjO6BlVwAAsyLa?format=jpg&name=small'],https://twitter.com/Drugdoctor2014/status/948235435662348289
9,Jeff Macke,@JeffMacke,2018-01-03T20:41:10.000Z,Pretty strong day for America. You know.... overall.  $WMT,"Pretty strong day for America. You know.... overall.  $WMT
2
5",,2,,5,['https://pbs.twimg.com/media/DSpNJROU0AA7PW6?format=jpg&name=small'],https://twitter.com/JeffMacke/status/948655497921511424
