,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Thomas George,@thomasg_grizzle,2020-01-02T16:32:43.000Z,"Here's a 2020 Decade Trade:

Most oil & gas stocks will suck on a decade view.. however big integrated names always survive.

In a world that is yield starved $RDSA's 6.3% dividend yield is as juicy as it gets!  3.6x the yield of the $SPY (multi-decade high).

$XOM $CVX $BP #OOTT","Here's a 2020 Decade Trade:

Most oil & gas stocks will suck on a decade view.. however big integrated names always survive.

In a world that is yield starved $RDSA's 6.3% dividend yield is as juicy as it gets!  3.6x the yield of the $SPY (multi-decade high).

$XOM $CVX $BP #OOTT
3
3
13",,3,3,13,['https://pbs.twimg.com/media/ENSjRnfWsAACeGB?format=png&name=small'],https://twitter.com/thomasg_grizzle/status/1212773726594445312
1,"Raymond-Nature, Animals & Trade Markets",@raymond10mm,2020-01-02T22:25:14.000Z,#newhigh $spx $es_f $AAPL #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f $BTC,"#newhigh $spx $es_f $AAPL #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f $BTC
1
2
3",📈 📉,1,2,3,['https://pbs.twimg.com/media/ENTz9kTXkAI7D38?format=jpg&name=small'],https://twitter.com/raymond10mm/status/1212862442713354241
2,xbt god,@xbt_god,2020-01-03T07:15:41.000Z,"I will be looking at a close above this resistance before jumping in $XOM

Tomorrow will be my confirmation!","I will be looking at a close above this resistance before jumping in $XOM

Tomorrow will be my confirmation!
1
1
4",,1,1,4,['https://pbs.twimg.com/media/ENVtXj5WwAEAq33?format=jpg&name=small'],https://twitter.com/xbt_god/status/1212995931823640576
3,Stephen Guilfoyle,@Sarge986,2020-01-03T13:38:08.000Z,"Iran, Financial Markets, Fed Minutes: Market Recon $LMT $KTOS $BP $RDS.A $CVX $XOM $MA $DIS $AAPL $MU $LW $SPX $COMP $DJIA https://realmoney.thestreet.com/investing/iran-financial-markets-fed-minutes-market-recon-15199049… via 
@RealMoney","Iran, Financial Markets, Fed Minutes: Market Recon $LMT $KTOS $BP $RDS.A $CVX $XOM $MA $DIS $AAPL $MU $LW $SPX $COMP $DJIA https://realmoney.thestreet.com/investing/iran-financial-markets-fed-minutes-market-recon-15199049… via 
@RealMoney
realmoney.thestreet.com
Iran, Financial Markets, Fed Minutes: Market Recon
What you have is a geopolitical event that markets were not positioned for.
1
10
14",,1,10,14,['https://pbs.twimg.com/card_img/1499229856369975297/c5Mjlahe?format=png&name=small'],https://twitter.com/Sarge986/status/1213092181910663171
4,Mikel Aingeru,@m1k3l_aingeru,2020-01-01T14:04:46.000Z,"Jean-Marie Eveillard - First Eagle U.S. Value
Posiciones en cartera a 31 de Octubre de 2019

Bought: $SCHW $KHC
Added to: $XOM $CHRW $NTR $NOV $ANTM $MMM $FTI $BK $WFC","Jean-Marie Eveillard - First Eagle U.S. Value
Posiciones en cartera a 31 de Octubre de 2019

Bought: $SCHW $KHC
Added to: $XOM $CHRW $NTR $NOV $ANTM $MMM $FTI $BK $WFC
3",,,,3,['https://pbs.twimg.com/media/ENM3yoZXsAISfUA?format=jpg&name=900x900'],https://twitter.com/m1k3l_aingeru/status/1212374108467585025
5,Gary Reiner,@ELPfan,2020-01-01T01:04:26.000Z,"Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA","Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom...
https://seekingalpha.com/news/3529009?source=ansh… $AAPL, $MSFT, $JPM, $V, $UTX, $GS, $NKE, $PG, $DIS, $AXP, $WMT, $INTC, $HD, $MRK, $UNH, $IBM, $KO, $CAT, $TRV, $JNJ, $MCD, $CVX, $CSCO, $DOW, $VZ, $XOM, $BA, $MMM, $PFE, $WBA
seekingalpha.com
Apple, Microsoft top Dow 2019 standings; Walgreens wobbles to the bottom (NASDAQ:AAPL)
Apple (NASDAQ:AAPL) and Microsoft (NASDAQ:MSFT) finished as the year's top gainers on the Dow Jones Industrial Average, as 27 of the 30 stocks in the index ended in the green vs.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1500261442888609794/RU36R6cw?format=png&name=240x240'],https://twitter.com/ELPfan/status/1212177729572888576
6,Laurie,@LaurieInMadison,2020-01-03T20:29:33.000Z,"The Hills Are Alive. The Music Stopped. Market Reaction. Stephen Guilfoyle's Market Recon. 
@Sarge986
 $LMT $KTOS $BP $RDS.A $CVX $XOM $MA $DIS $AAPL $MU $SPX $COMP $DJIA #FOMC #tapertantrum #RelativeStrength #WTICrude #airstrike #yieldcurve https://realmoney.thestreet.com/investing/iran-financial-markets-fed-minutes-market-recon-15199049… via 
@RealMoney","The Hills Are Alive. The Music Stopped. Market Reaction. Stephen Guilfoyle's Market Recon. 
@Sarge986
 $LMT $KTOS $BP $RDS.A $CVX $XOM $MA $DIS $AAPL $MU $SPX $COMP $DJIA #FOMC #tapertantrum #RelativeStrength #WTICrude #airstrike #yieldcurve https://realmoney.thestreet.com/investing/iran-financial-markets-fed-minutes-market-recon-15199049… via 
@RealMoney
realmoney.thestreet.com
Iran, Financial Markets, Fed Minutes: Market Recon
What you have is a geopolitical event that markets were not positioned for.
1
3",,,1,3,['https://pbs.twimg.com/card_img/1499229856369975297/c5Mjlahe?format=png&name=small'],https://twitter.com/LaurieInMadison/status/1213195715037532166
7,Justin Pulitzer,@JustinPulitzer,2020-01-01T00:03:24.000Z,"NYE - Mid-Week Review VIDEO 1/1: https://vimeo.com/ondemand/jptrades/382234887…

$ES_F $VIX $SPY $IWM $QQQ $APPL $TLT $GLD $SLV $FB $AMZN $MSFT $NFLX $ROKU $DIS $NVDA $GOOGL $BKNG $ADBE $ADSK $XOM $CLB","NYE - Mid-Week Review VIDEO 1/1: https://vimeo.com/ondemand/jptrades/382234887…

$ES_F $VIX $SPY $IWM $QQQ $APPL $TLT $GLD $SLV $FB $AMZN $MSFT $NFLX $ROKU $DIS $NVDA $GOOGL $BKNG $ADBE $ADSK $XOM $CLB
vimeo.com
Watch Justin Pulitzer Trades Online | Vimeo On Demand
Monthly Subscribers have access to ALL of my Weekend Review, Mid Week Review & Special Edition Videos for $69.99/mo. New Subscribers have a 5 day trial period…
2
4
9",🍊 💥,2,4,9,['https://pbs.twimg.com/card_img/1501614513992384514/8njGwa-3?format=jpg&name=360x360'],https://twitter.com/JustinPulitzer/status/1212162368052105216
8,"Raymond-Nature, Animals & Trade Markets",@raymond10mm,2020-01-03T22:02:48.000Z,#war $spx $es_f $AAPL #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f $BTC,"#war $spx $es_f $AAPL #daytrading #investing #futures $spy $nasdaq $zb_f $nq_f $cl_f $GC_f $XOM $ibm $amzn $googl $AVGO $WFM $cvs $bac $td $WMT $COST $WFC $jnj $GE $GS $tsla $utx $fb $JPM $dis $MCD $mo $NKE $TGT $RHT $V $gc_f $BTC
1
2
1",📈 📉,1,2,1,['https://pbs.twimg.com/media/ENY4acRWsAARykQ?format=jpg&name=small'],https://twitter.com/raymond10mm/status/1213219182944440320
9,Philip Calrissian,@Trading_Sunset,2020-01-03T13:17:45.000Z,"The day begins with...

US equity futures are significantly lower on 'spooky news'. 
Strength: $GDX $GOLD $NEM $AG $AU $PAAS $GLD $SLV $WTIC $HAL $XOM $CVX $TLT $VIX $LB
Weakness: $AMD $CAT $BAC $MSFT $LK $UAL $AMZN $UBER $DB $MU $SPCE $TWTR $X 
Have a good day  
@petenajarian","The day begins with...

US equity futures are significantly lower on 'spooky news'. 
Strength: $GDX $GOLD $NEM $AG $AU $PAAS $GLD $SLV $WTIC $HAL $XOM $CVX $TLT $VIX $LB
Weakness: $AMD $CAT $BAC $MSFT $LK $UAL $AMZN $UBER $DB $MU $SPCE $TWTR $X 
Have a good day  
@petenajarian
2
7",☀ 🌤,,2,7,['https://pbs.twimg.com/media/ENXAPEeWkAEKNmf?format=jpg&name=small'],https://twitter.com/Trading_Sunset/status/1213087049307361280
10,finanzasmania,@finanzasmania,2020-01-03T21:40:37.000Z,Top 10 high conviction stock ideas - BofA $T $LEA $$GPS $XOM,"Top 10 high conviction stock ideas - BofA $T $LEA $$GPS $XOM
1",,,1,,['https://pbs.twimg.com/media/ENYzVS2UYAAexkw?format=png&name=small'],https://twitter.com/finanzasmania/status/1213213601588232194
11,The Fly,@theflynews,2020-01-03T14:13:32.000Z,Fly Intel: Pre-market Movers $CEMI $LB $OAS $WLL $XOM $TSLA $NOVN $INCY $VNE $PACB,"Fly Intel: Pre-market Movers $CEMI $LB $OAS $WLL $XOM $TSLA $NOVN $INCY $VNE $PACB
thefly.com
Fly Intel: Pre-market Movers
HIGHER: Chembio Diagnosti... CEMI, LB, OAS, WLL, XOM, TSLA, NOVN, INCY, VNE, PACB
1
1",,,1,1,['https://pbs.twimg.com/card_img/1501305764081721345/GcvAvZOJ?format=jpg&name=small'],https://twitter.com/theflynews/status/1213101088066326528
12,SC,@StockSnowball,2020-01-01T17:57:52.000Z,"$IBM, $XOM, $AMC http://Stocksnowball.net: 2020 Investing Outlook! Picks and Predictions! http://stocksnowball.net/2019/12/2020-investing-outlook-picks-and.html?spref=tw…","$IBM, $XOM, $AMC http://Stocksnowball.net: 2020 Investing Outlook! Picks and Predictions! http://stocksnowball.net/2019/12/2020-investing-outlook-picks-and.html?spref=tw…
1
1",,,1,1,[],https://twitter.com/StockSnowball/status/1212432766513532928
13,Profectus Systems,@ProfectuSystems,2020-01-02T19:17:09.000Z,Auto-trading subcriptions available at Profectus Systems: $REXX $WLL $SRPT $GALE $XOM $F $GM $NKE $SBUX $FCX $LUV $AAL $PZZA $DPZ,"Auto-trading subcriptions available at Profectus Systems: $REXX $WLL $SRPT $GALE $XOM $F $GM $NKE $SBUX $FCX $LUV $AAL $PZZA $DPZ
1",,,,1,[],https://twitter.com/ProfectuSystems/status/1212815109690658816
14,Tuan Pham,@15minofPham,2020-01-01T20:52:33.000Z,"Tues (12/31/19) options strongest final 30-min close (Min $10 & Vol 1M, Opt Min $0.25 & Vol 500 in any strike): $SYY $WYNN $JPM $IBM $DDOG $MMP $JPM $GS $MA $XOM $TLRY","Tues (12/31/19) options strongest final 30-min close (Min $10 & Vol 1M, Opt Min $0.25 & Vol 500 in any strike): $SYY $WYNN $JPM $IBM $DDOG $MMP $JPM $GS $MA $XOM $TLRY",,,,,['https://pbs.twimg.com/media/ENOVKA8VUAElzjx?format=png&name=small'],https://twitter.com/15minofPham/status/1212476730033573888
15,Infinitus Capital,@InfinitusCap,2020-01-03T16:03:11.000Z,"EIA number ---->   +8.776M   vs.  +500K expectation 

#OIL #FUTURES ~ #CL_F #CL $CL_F $CL geopolitical wknd risk

$BDO $ES $DVN #OPEC $APA $APC #CRUDE $UCO $SPX $RIG $USO #fintwit $ES_F $XOM $MRO $SPY $CHK $CVE #ES_F #ES $OIL $VLO #Energy $COP $GAS #BRENT","EIA number ---->   +8.776M   vs.  +500K expectation 

#OIL #FUTURES ~ #CL_F #CL $CL_F $CL geopolitical wknd risk

$BDO $ES $DVN #OPEC $APA $APC #CRUDE $UCO $SPX $RIG $USO #fintwit $ES_F $XOM $MRO $SPY $CHK $CVE #ES_F #ES $OIL $VLO #Energy $COP $GAS #BRENT
Infinitus Capital
@InfinitusCap
 · 3 Jan 2020
M-F @ 8:45amEST we email highest #DayTrading probability inflection #s for #OIL #FUTURES ~ #CL_F #CL $CL_F $CL

https://infinituscapital.ca/quantitative-service…

$BDO $ES $DVN #OPEC $APA $APC #CRUDE $UCO $SPX $RIG $USO #fintwit $ES_F $XOM $MRO $SPY $CHK $CVE #ES_F #ES $OIL $VLO #Energy $COP $GAS #BRENT
1
1",,,1,1,"['https://pbs.twimg.com/profile_images/492864664707936257/ErEYiGi9_mini.png', 'https://pbs.twimg.com/media/ENW9HGBXsAIhHEF?format=jpg&name=small']",https://twitter.com/InfinitusCap/status/1213128683994722318
16,The Fly,@theflynews,2020-01-03T17:30:00.000Z,Exxon Mobil sees $600M-$800M negative Q4 impact from downstream #refining margins $XOM https://bit.ly/2SPFYLO,"Exxon Mobil sees $600M-$800M negative Q4 impact from downstream #refining margins $XOM https://bit.ly/2SPFYLO
1
1",,,1,1,['https://pbs.twimg.com/media/ENX08xUXsAELirZ?format=jpg&name=900x900'],https://twitter.com/theflynews/status/1213150530182303744
17,STCK.PRO,@StckPro,2020-01-03T23:37:02.000Z,"$XOM NEW ARTICLE : Exxon signals fourth quarter weakness in chemicals and refining, offset by asset sale https://dashboard.stck.pro/news.php?ticker=XOM&rowid=3149295… Get all the latest $XOM related news here : https://dashboard.stck.pro/news.php?ticker=XOM…","$XOM NEW ARTICLE : Exxon signals fourth quarter weakness in chemicals and refining, offset by asset sale https://dashboard.stck.pro/news.php?ticker=XOM&rowid=3149295… Get all the latest $XOM related news here : https://dashboard.stck.pro/news.php?ticker=XOM…",,,,,['https://pbs.twimg.com/media/ENZN_E4U4AAKQBu?format=jpg&name=small'],https://twitter.com/StckPro/status/1213242899195785221
